Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D,age_range,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata3
mayday,"When the ship started taking on water, the captain sent out a MAYDAY to request immediate assistance.",distress call,announcement,greeting,celebration,2-4,-2.7911487,-1.0297656,0.50255084,-3.2399402,-2.1265793,000
takedown,"The wrestler executed a quick TAKEDOWN, bringing his opponent to the mat with ease.",tackle,stand,victory,handshake,2-4,-2.9888215,-1.5347285,-0.0091750296,-1.961784,-0.81248164,001
sketcher,"The SKETCHER sat in the park, capturing the lively scene on her pad with quick, fluid strokes.",artist,singer,dancer,writer,2-4,-4.1090536,-1.4996562,1.5513377,-1.1810747,-0.53859925,002
pesky,The teacher found the PESKY fly buzzing around the classroom to be quite distracting during the lesson.,annoying,enormous,colorful,delicate,2-4,-1.6862575,-1.2786086,0.17891787,-2.8064563,-1.9947914,010
sleet,"The forecast predicted SLEET, prompting the school to issue a warning about slippery roads.",ice pellets,sunshine,warmth,fog,2-4,-1.7334677,-1.720241,3.5773776,-1.188315,-0.66451919,011
sheeting,The construction workers used SHEETING to protect the site from rain and wind damage.,covering,ladder,vehicle,equipment,2-4,-2.362329,-0.98412085,0.5653879,-2.1939085,-0.30610603,012
ravine,The hikers carefully descended into the RAVINE to explore the waterfall at its base.,gully,mountain,forest,desert,2-4,-1.2884454,-1.0621027,0.31280762,-1.7417262,-1.686998,020
rink,The ice hockey team met every evening at the local RINK for their practice sessions.,arena,field,pool,court,2-4,-1.0814127,-1.9643719,6.4608345,-1.8327763,-1.0755664,021
fringe,She loves to wear dresses with a FRINGE that sways as she moves.,edge,fabric,pocket,pattern,2-4,-0.43844062,-1.3025352,0.5908972,0.44836539,1.0872111,022
schnitzel,"At the restaurant, I decided to order a SCHNITZEL for dinner because I love its crispy fried coating.",cutlet,salad,soup,pasta,2-4,-3.1940296,0.001084813,-0.29493448,-3.8250847,-2.1333725,100
misspent,She realized too late that she had MISSPENT much of her youth chasing fleeting pleasures.,wasted,cherished,organized,enjoyed,2-4,-3.0503821,0.126407,-0.24782193,-2.6606159,-1.4000466,101
leavings,"After the picnic, we gathered up all the LEAVINGS and threw them in the trash bin.",leftovers,decorations,cutlery,plates,2-4,-3.0874074,-0.60018563,0.61552197,-0.73844826,0.79554945,102
insightful,"The teacher praised Jamie's INSIGHTFUL comments during the discussion, noting how they added depth to the conversation.",perceptive,superficial,confusing,humorous,2-4,-1.7445263,-0.36488044,-0.22711881,-1.9836369,-1.8787961,110
marinade,"Before grilling, she prepared a flavorful MARINADE to soak the chicken for a few hours.",sauce,dessert,salad,cheese,2-4,-2.3173776,-0.052784573,0.34423459,-5.1298876,-1.0352496,111
conspire,The two students decided to CONSPIRE in order to pull off the elaborate prank without getting caught.,plot,argue,apologize,cooperate,2-4,-1.9940516,-0.37568825,-0.2903167,-0.1405337,-0.53680879,112
madame,The diplomat addressed the ambassador as MADAME during their formal meeting.,lady,sir,mister,ma'am,2-4,-1.0939652,0.16006927,-0.29884484,-1.7751597,-1.7762896,120
atheist,"Despite coming from a religious family, Maria identifies as an ATHEIST and does not participate in religious practices.",nonbeliever,follower,leader,philosopher,2-4,-1.3603398,-0.47015309,-0.069605134,-1.7980509,-1.1573063,121
recommend,The teacher decided to RECOMMEND the book to her students because of its engaging story and valuable lessons.,suggest,criticize,ignore,reject,2-4,0.49649897,0.14248581,-0.31747574,0.81963605,-0.077665061,122
untraditional,The UNTRADITIONAL approach to teaching math involved games and interactive activities.,unconventional,standard,routine,expected,2-4,-3.3913484,1.9251517,-0.36559212,-2.7547233,-2.3204966,200
employable,"After completing the training program, Maria was confident that she was now EMPLOYABLE and ready to join the workforce.",hirable,adventurous,careful,exhausted,2-4,-2.8059659,0.42370218,-0.30443805,-2.8223624,-1.1398649,201
nonpayment,The company warned the tenant that further NONPAYMENT of rent would lead to eviction.,default,negotiation,deposit,renewal,2-4,-3.0986927,0.76401675,-0.31587473,-1.5334177,-0.49820709,202
serviceman,John's grandfather often shares stories about his experiences as a SERVICEMAN during the war.,soldier,farmer,teacher,musician,2-4,-2.0544493,0.8088004,-0.33532336,-3.6603274,-1.8535609,210
wakefulness,Consistent exposure to natural light during the day is known to improve WAKEFULNESS and alertness.,alertness,drowsiness,tiredness,calmness,2-4,-2.4103487,0.72059649,-0.31215632,-2.1075385,-0.69349444,211
testimonial,"The athlete gave a heartfelt TESTIMONIAL about his coach, praising his dedication and support.",endorsement,critique,story,question,2-4,-1.7863636,1.4725184,-0.3571282,-0.85135788,0.21857642,212
unrealistic,The student's idea for the project was deemed UNREALISTIC because it required a billion-dollar budget.,impractical,innovative,feasible,straightforward,2-4,-0.9524796,1.4887272,-0.34918097,0.75286537,-1.8187767,220
appreciative,The teacher was APPRECIATIVE of the students' hard work and dedication throughout the semester.,grateful,critical,indifferent,doubtful,2-4,-1.33334,1.4569938,-0.3222751,-0.12229245,-1.2680261,221
emptiness,"After the students left for the summer, the school's hallways were filled with a sense of EMPTINESS.",void,excitement,noise,activity,2-4,-0.95654291,0.24744841,-0.31045225,-1.1794621,0.22224547,222
