Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
workhouse,"During the 19th century, many impoverished people were sent to the WORKHOUSE to earn their keep.",poorhouse,mansion,factory,school
workhouse,"Due to his inability to pay his debts, he ended up in a WORKHOUSE where conditions were harsh.",poorhouse,hospital,workshop,courthouse
workhouse,The novel describes the grim reality of life in a Victorian WORKHOUSE.,poorhouse,palace,storehouse,office
stonework,The exquisite STONEWORK on the cathedral was a marvel of Gothic architecture.,masonry,painting,decoration,furniture
stonework,The restoration team took special care to preserve the original STONEWORK of the ancient ruins.,masonry,foliage,artwork,plumbing
stonework,The detailed STONEWORK on the facade of the building indicated that it was constructed during the Renaissance period.,masonry,woodwork,framework,fabric
orthopedics,"After his car accident, John had to see a specialist in ORTHOPEDICS to have his broken bones treated.",orthopedics,cardiology,neurology,dermatology
orthopedics,The patient was referred to the ORTHOPEDICS department for evaluation of his joint pain.,orthopedics,oncology,endocrinology,obstetrics
orthopedics,ORTHOPEDICS is the branch of medicine that deals with the correction of deformities of bones or muscles.,orthopedics,ophthalmology,gastroenterology,psychiatry
hieroglyphic,"The archaeologist was excited to find an ancient HIEROGLYPHIC on the temple wall, believing it held significant historical value.",symbol,drawing,painting,artifact
hieroglyphic,"During the museum tour, the guide explained that each HIEROGLYPHIC in the stone tablet represented a different sound in the ancient language.",character,inscription,mark,scribble
hieroglyphic,The researchers had to decipher each HIEROGLYPHIC meticulously to understand the complete message left by the ancient civilization.,pictogram,sketch,code,letter
comprise,The committee will COMPRISE representatives from all departments.,include,exclude,organize,divide
comprise,The exhibition will COMPRISE works by various local artists.,contain,remove,separate,manage
comprise,The new law will COMPRISE several key regulations to ensure safety.,encompass,dismiss,alter,reduce
harebrain,"Jessica’s HAREBRAIN ideas often frustrated her team, as they were impractical and rarely well thought out.",foolish,clever,complicated,innovative
harebrain,"The committee immediately dismissed the HAREBRAIN proposal, realizing it lacked any substantial foundation.",absurd,detailed,strategic,sensible
harebrain,His HAREBRAIN schemes frequently got him into trouble because they were impulsive and poorly planned.,silly,meticulous,insightful,reasonable
destine,She believed that her hard work would DESTINE her for success.,doom,inspire,challenge,distract
destine,The ancient prophecy seemed to DESTINE the prince for a perilous journey.,predetermine,encourage,hinder,transform
destine,The company’s innovative approach appeared to DESTINE it for industry leadership.,preordain,motivate,reflect,weaken
devoid,The barren desert was DEVOID of any significant plant life.,empty,full,abundant,lacking
devoid,Her voice was DEVOID of any emotion during the entire conversation.,lacking,filled,brimming,equipped
devoid,The meeting was DEVOID of any productive discussion and ended early.,lacking,replete,incomplete,surplus
uncivil,The meeting was DEVOID of any productive discussion and ended early.,rude,charming,elegant,polite
uncivil,The meeting was DEVOID of any productive discussion and ended early.,disrespectful,complimentary,informative,constructive
uncivil,The meeting was DEVOID of any productive discussion and ended early.,impolite,friendly,cooperative,supportive
ensnare,The cunning fox used a clever trick to ENSNARE the rabbit in its trap.,trap,feed,observe,scare
ensnare,The police set up a sting operation to ENSNARE the notorious criminal.,capture,inform,identify,follow
ensnare,The fisherman hoped to ENSNARE a large bass in his net by the end of the day.,catch,release,ignore,attract
ritualized,"Every morning, Sarah followed a RITUALIZED routine that included meditation, a cup of tea, and a brisk walk.",habitual,random,chaotic,spontaneous
ritualized,The festival was known for its RITUALIZED ceremonies that had been performed the same way for centuries.,formalized,unconventional,haphazard,unplanned
ritualized,His daily exercise became so RITUALIZED that he felt uncomfortable skipping even one day.,methodical,sporadic,erratic,irregular
impaction,The patient's severe abdominal pain was traced back to an IMPACTION in his intestines.,blockage,infection,medication,irritation
impaction,The dentist explained that the wisdom tooth's IMPACTION could cause significant problems if left untreated.,obstruction,inflammation,extraction,bruising
impaction,Farmers were concerned about soil IMPACTION affecting crop growth during the dry season.,compression,irrigation,cultivation,expansion
impaction,Attendance at the meeting is OBLIGATORY for all employees.,mandatory,optional,recommended,discouraged
impaction,"To complete the course, submission of a final project is OBLIGATORY.",required,voluntary,unnecessary,beneficial
impaction,The company made it OBLIGATORY for all staff to undergo safety training.,compulsory,elective,trivial,advantageous
galosh,"During the heavy rain, I put on my GALOSH to keep my feet dry.",boot,sock,shoe,sandal
