Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
jalopy,"Even though his car was a JALOPY, it still managed to get him to school every day.",clunker,luxury,motorbike,bicycle
spud,The farmer planted SPUDS in the field to prepare for a good harvest in the fall.,potatoes,carrots,corn,beans
wiz,"In his class, James is known as a WIZ because of his incredible math skills.",genius,beginner,student,enthusiast
behold,"From the balcony, she could BEHOLD the stunning view of the sunset over the ocean.",observe,ignore,construct,purchase
vapor,"The scientist explained that when water boils, it turns into VAPOR and rises into the air.",mist,ice,liquid,foam
flare,"As the sun set, the campfire began to FLARE up, casting long shadows on the ground.",blaze,extinguish,whisper,sprinkle
solar,The school installed SOLAR panels on the roof to generate renewable energy from the sun.,sun-powered,wind,fossil,fuel
nerve,It took a lot of NERVE for Maria to stand up in front of the whole class and give her speech.,courage,doubt,hesitation,fear
detail,The journalist provided every DETAIL of the story to ensure that readers understood what happened.,fact,summary,opinion,trend
graffiti,The walls of the abandoned building were covered in colorful GRAFFITI that told stories of the neighborhood's past.,murals,repairs,windows,floors
cakewalk,"The victory was a CAKEWALK for the well-prepared team, as their opponents were not very strong.",breeze,struggle,marathon,puzzle
fixable,The technician assured us that the damaged laptop was FIXABLE and would be repaired by the end of the day.,repairable,expensive,valuable,modern
chandelier,The grand ballroom was illuminated by a magnificent CHANDELIER that hung from the ceiling.,fixture,curtain,floor,table
assassinate,The news reported that a plot was uncovered to ASSASSINATE the leader while he was giving a speech.,kill,honor,support,ignore
conversion,The CONVERSION of the old warehouse into a modern art gallery impressed the entire community.,transformation,demolition,preservation,enhancement
outcome,The experiment's OUTCOME surprised the researchers since it contradicted their initial hypothesis.,result,equipment,process,failure
tension,The TENSION in the room was palpable as the students waited for the results to be announced.,stress,excitement,joy,relief
exchange,The students decided to EXCHANGE gifts as part of their holiday celebration.,swap,keep,create,admire
motherfucking,"The movie received a MOTHERFUCKING bad review, which surprised the filmmakers.",extremely,mildly,partially,slightly
unidentified,The police found an UNIDENTIFIED object in the park and cordoned off the area.,unknown,familiar,expensive,large
magnificence,"The tourists were awestruck by the MAGNIFICENCE of the ancient palace, with its towering spires and intricate carvings.",grandeur,simplicity,modesty,plainness
accommodation,The hotel provided ACCOMMODATION for all the guests attending the conference.,lodging,entertainment,transportation,meals
representation,The artist's painting was a vivid REPRESENTATION of the bustling city life.,depiction,creation,suggestion,alteration
considerable,The school made a CONSIDERABLE effort to improve the library facilities for the students.,significant,minimal,partial,frequent
constitution,The country's CONSTITUTION guarantees certain fundamental rights to all its citizens.,charter,practice,tradition,conviction
professional,"Sarah always made sure her work attire was PROFESSIONAL, reflecting her commitment to her career.",appropriate,casual,colorful,extravagant
