Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
nada,"Despite all the hype about the new restaurant, when we visited, we found out it was NADA special.",nothing,somewhat,very,incredibly
dib,"During recess, Jamie yelled ""DIBS on the last spot in the kickball game!"" to secure his place.",claim,pass,skip,lose
bonbon,"At the party, each guest received a beautifully wrapped BONBON as a sweet treat.",candy,gift,drink,toy
luau,"The school organized a LUAU celebration, complete with Hawaiian music and traditional food.",feast,play,concert,conference
drat,"When Jeff realized he had forgotten his homework at home, he exclaimed, ""DRAT!""",darn,hooray,oops,wow
dodger,The detective was frustrated by the tax DODGER who managed to evade capture for years.,evader,philanthropist,reporter,athlete
scuff,The new shoes started to SCUFF after just one day of walking on the rough pavement.,scratch,shine,stretch,float
wiz,Everyone in the class admired Jake because he was a WIZ at solving complex math problems.,expert,beginner,distraction,participant
ruckus,"The students created a loud RUCKUS in the hallway, attracting the teacher's attention.",commotion,silence,activity,habit
bio,"The author's BIO on the website included her past works and awards, giving readers a glimpse into her career.",biography,critique,fiction,poem
pubic,"The doctor explained that the rash was located in the PUBIC region, which required specific treatment.",genital,facial,abdominal,cranial
foxy,The detective admired the FOXY strategies used by the thief to evade capture for so long.,cunning,reckless,timid,clumsy
shag,The living room had a SHAG carpet that felt soft and fluffy underfoot.,plush,wooden,colorful,sleek
wiper,"During the heavy rain, Tom turned on the car's WIPER to clear the windshield.",blade,mirror,handle,seat
chunk,The recipe instructed her to cut the vegetables into CHUNKS for the stew.,pieces,rings,slices,dots
awed,The students were AWED by the magnificent performance of the talented pianist.,impressed,confused,amused,bored
lisp,"The young boy spoke with a slight LISP, which made his ""s"" sounds a bit soft.",speech impediment,accent,whisper,shout
verse,"In English class, the students had to memorize a VERSE from their favorite poem.",stanza,chapter,novel,essay
tryout,"Emily was nervous before the TRYOUT for the school's basketball team, as she really wanted to impress the coach.",audition,party,debate,meeting
myth,The professor explained that the MYTH of the Loch Ness Monster has fascinated people for decades.,legend,creature,fact,habitat
lone,"The LONE wolf wandered through the forest, searching for its pack.",solitary,friendly,hungry,lost
grit,"It takes a lot of GRIT to run a marathon, especially in challenging weather conditions.",determination,hesitance,distraction,relaxation
leaded,"The old building had LEADED windows, which gave it a classic and historic appearance.",glazed,wooden,broken,painted
ram,"During the festival, they watched as the two animals prepared to RAM each other in a show of strength.",collide,graze,pace,groom
slack,The teacher noticed that some students were starting to SLACK in their studies as the semester progressed.,lessen,excel,invest,delight
rig,The students decided to RIG the broken swing so they could safely use it during recess.,fix,dismantle,paint,move
muzzle,The dog owner had to put a MUZZLE on his pet to prevent it from biting strangers.,restraint,collar,leash,harness
lack,The team's failure was due to a LACK of preparation before the big game.,shortage,abundance,arrival,change
prime,"Before painting the walls, it is important to PRIME them to ensure the color adheres well.",prepare,paint,decorate,clean
file,She had to FILE all the documents neatly into the cabinet before leaving the office for the day.,organize,scatter,create,destroy
fund,The school decided to create a new FUND to support the purchase of books for the library.,reserve,debt,project,celebration
effect,The new policy had a significant EFFECT on student attendance rates at the school.,impact,limit,view,schedule
sex,"In the biology class, the students learned that the primary purpose of SEX is reproduction in living organisms.",reproduction,evolution,nutrition,growth
