target_word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata,stem,correct_response,response_b,response_c,response_d,_merge,target_n
Statehood,,,,,,,Achieving STATEHOOD meant that the region could now elect its own representatives in the federal government.,independence,population,economy,culture,Using only (2),1
Statehood,,,,,,,The celebrations to mark the centennial of STATEHOOD included a parade and fireworks.,sovereignty,governance,heritage,diversity,Using only (2),2
Statehood,,,,,,,"After years of debate and political struggle, the territory was finally granted STATEHOOD.",autonomy,legislation,infrastructure,citizenship,Using only (2),3
Tabernacle,,,,,,,,,,,,Using only (2),1
Tabernacle,,,,,,,,,,,,Using only (2),2
Tabernacle,,,,,,,,,,,,Using only (2),3
absurd,-.1334749,-.9263159,-.27547029,.4164384,-.33618081,143,It seemed ABSURD to wear a coat in the middle of summer.,nonsensical,stylish,elegant,traditional,Matched (3),1
absurd,-.1334749,-.9263159,-.27547029,.4164384,-.33618081,143,The idea that the earth is flat is completely ABSURD.,ridiculous,fascinating,conventional,significant,Matched (3),2
absurd,-.1334749,-.9263159,-.27547029,.4164384,-.33618081,143,The notion that he could finish his homework in ten minutes was simply ABSURD.,preposterous,diligent,plausible,acceptable,Matched (3),3
adaptive,-1.08948,-1.026734,-.2540803,-1.1548671,-1.635638,241,"The new management system is highly ADAPTIVE, allowing it to respond quickly to changes in the market.",flexible,rigid,resistant,passive,Matched (3),1
adaptive,-1.08948,-1.026734,-.2540803,-1.1548671,-1.635638,241,Animals in extreme environments tend to develop ADAPTIVE traits that help them survive.,accommodating,static,harmful,dormant,Matched (3),2
adaptive,-1.08948,-1.026734,-.2540803,-1.1548671,-1.635638,241,His ADAPTIVE learning style enabled him to excel in various educational settings.,versatile,fixed,uninspired,strict,Matched (3),3
alternator,-1.969198,.71599817,-.30819201,-5.0392842,-1.872191,420,"After the long trip, the ALTERNATOR needed to be replaced to ensure the car's electrical system worked properly.",generator,radiator,transmission,exhaust,Matched (3),1
alternator,-1.969198,.71599817,-.30819201,-5.0392842,-1.872191,420,The mechanic discovered that the car wasn't starting because the ALTERNATOR was faulty.,generator,accelerator,battery,ignition,Matched (3),2
alternator,-1.969198,.71599817,-.30819201,-5.0392842,-1.872191,420,"When the headlights began to dim, he knew the problem was most likely a failing ALTERNATOR.",generator,carburetor,muffler,brake,Matched (3),3
angelical,-4.9739871,-.1662222,1.019376,-3.9799359,-1.82298,301,His ANGELICAL demeanor made him a favorite among the teachers.,pure,rude,exhausted,confused,Matched (3),1
angelical,-4.9739871,-.1662222,1.019376,-3.9799359,-1.82298,301,Her ANGELICAL voice soothed everyone in the room.,heavenly,harsh,loud,grating,Matched (3),2
angelical,-4.9739871,-.1662222,1.019376,-3.9799359,-1.82298,301,The ANGELICAL appearance of the child captivated all who saw her.,divine,ordinary,mischievous,tired,Matched (3),3
apprehensive,-1.553077,1.401337,-.34762409,.36933431,-.91998082,432,He was APPREHENSIVE as the deadline for the important project approached.,nervous,eager,relaxed,prepared,Matched (3),1
apprehensive,-1.553077,1.401337,-.34762409,.36933431,-.91998082,432,Sarah felt APPREHENSIVE about her first day at the new school.,anxious,excited,confident,indifferent,Matched (3),2
apprehensive,-1.553077,1.401337,-.34762409,.36933431,-.91998082,432,The travelers were APPREHENSIVE when they noticed the storm clouds gathering.,uneasy,thrilled,ignorant,nonchalant,Matched (3),3
