Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata3
jalopy,-2.9209955,-0.52059335,-0.26463425,-1.5713768,-1.9756054,111
spud,-2.5730767,-1.7686119,2.8015573,-3.5913999,0.12738308,112
wiz,-3.8784792,-2.1629949,0.8552534,-1.0994142,1.8733065,113
behold,-1.0917401,-0.82770312,0.36956611,-0.78599817,-1.4644853,121
vapor,-0.31318396,-1.4195749,0.011420486,-2.0291219,-0.19006917,122
flare,-0.74795794,-1.7983233,2.4723852,-0.96224189,1.8246316,123
solar,0.67968547,-1.4924699,1.686708,-1.1657765,-1.1434135,131
nerve,0.42333594,-1.779043,1.3316787,-0.5309611,0.60941076,132
detail,1.1335627,-1.215149,0.74542791,0.7086128,1.2708752,133
graffiti,-3.4383044,-0.050339296,-0.2984159,-1.3523628,-1.3818927,211
cakewalk,-2.9146972,0.67045683,0.096697628,-2.6849515,-0.49576586,212
fixable,-3.1569974,-1.2437149,-0.0410849,-2.8981338,1.1076683,213
chandelier,-1.4679952,0.43113866,-0.29269964,-2.2084141,-1.8379638,221
assassinate,-1.7530742,0.6400426,-0.33635011,-0.84802663,-0.90701616,222
conversion,0.12676032,0.062692501,-0.30392489,-0.094432823,1.4062309,223
outcome,0.40456316,-0.63494879,-0.29135525,0.82166296,-1.0615693,231
tension,0.57904816,-0.96377426,0.38643768,0.3495037,0.81519014,232
exchange,1.262668,-0.27345973,-0.2908296,0.52221727,1.9028244,233
motherfucking,-3.1153088,0.32509214,-0.27594796,-1.7954019,-1.6801844,311
unidentified,-3.1867902,1.8309338,-0.36319321,0.15845625,-0.50246543,312
magnificence,-2.0314615,1.5087651,-0.34042835,-0.91752958,-1.2132101,321
accommodation,-0.89975941,1.2537739,-0.36014283,-1.2910907,0.75866771,322
representation,0.32414132,1.9438987,-0.36907378,0.018030208,1.2345861,323
considerable,0.74772495,1.3570749,-0.16517086,1.3898307,-1.3465327,331
constitution,0.76506841,1.088571,-0.33174288,-1.4002681,0.73636258,332
professional,1.530481,0.82952321,0.31632316,0.60880679,1.3678449,333
