Name,stem,correct_response,response_b,response_c,response_d,best Jasmine,best Julian,best item Josh,agreement,Inferential difficulty,Stem Words,Distractor Difficulty,Background Knowledge,_merge,target_n,strata,proximity_awl,polysemy_awl,frequency_awl,diversity_awl,complexity_awl,tag,Difficulty of other words in stem,Required Background
cymbal,The drummer added a quick crash of the CYMBAL to emphasize the dramatic end to the piece.,gong,drumstick,piano,clarinet,,,,,,,,,Matched (3),6,111,-0.16573361,-1.640889,-2.631809,-1.809988,-1.017489,,,
dethrone,"After a series of defeats, the once-mighty king was finally DETHRONED by his enemies.",removed,celebrated,assisted,reinforced,,,,,,,,,Matched (3),3,210,-0.2941294,-1.885605,-2.9452879,-0.86619103,-0.20166969,,,
maser,Her GALLANTRY in facing the difficult situation was admired by everyone in the community.,courage,confusion,frustration,uncertainty,error,,"error, gallantry",,,,,,Matched (3),6,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
codebook,"Before starting their analysis, the scientists studied the CODEBOOK to become familiar with the terminology used.",glossary,anthology,mixture,device,,,,,,,,,Matched (3),3,204,11.84046,0.056676898,-3.736362,-4.030724,-1.861369,,,
warden,The geologist explained that the layers within the SANDSTONE were formed over millions of years by sediment deposition.,sedimentary rock,igneous rock,metamorphic rock,pumice,,,,,,,,,Matched (3),6,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
newsgroup,Alex spent hours each day reading posts and engaging in discussions on the NEWGROUP related to his favorite hobby.,forum,article,journal,newsletter,error,,,,,,,,Matched (3),1,313,-0.1684902,-0.53684568,-3.0395761,-3.9820509,1.509396,,,
statehood,,,,,,,,,,,,,,Master only (1),1,331,-0.30695841,-1.797176,-1.691946,-2.2228019,0.076111801,,,
boathouse,"After a long day on the lake, the fishermen returned their boat to the BOATHOUSE.",pier,restaurant,station,shed,best,,,,,,,,Matched (3),1,321,-0.26764661,-1.670868,-2.0409291,-2.2896399,-0.28770381,,,
conscientious,"Sarah was very CONSCIENTIOUS in her preparation for the exam, ensuring she reviewed all the course material thoroughly.",diligent,careless,hesitant,quick,,,,,,,,,Matched (3),3,442,-0.37063631,-0.95450288,-1.02028,0.67162228,1.7615319,,,
reparation,"After the extensive damage caused by the hurricane, the government promised financial REPARATION to the affected communities.",compensation,negligence,appointment,ceremony,best,,,,,,,,Matched (3),2,424,-0.1043145,0.1304138,-2.445926,-2.0322931,0.13727389,,,
dethrone,Many believe that the reigning champion will be DETHRONED in the upcoming match.,unseated,promoted,cheered,followed,,,,,,,,,Matched (3),2,210,-0.2941294,-1.885605,-2.9452879,-0.86619103,-0.20166969,,,
contour,"The hiker's map showed every CONTOUR of the mountain terrain, making it easy to plan his route.",outline,peak,forest,rock,,,,,,,,,Matched (3),4,144,-0.28759351,0.49197999,-0.83968961,-0.6492542,-0.63873678,,,
fanatic,The politician's proposals appealed to a small but vocal group of FANATICs.,extremists,participants,observers,voters,,best,,,,,,,Matched (3),2,133,-0.26747099,-0.75783157,-1.133706,-0.40174481,-0.4188486,,,
cockeyed,"After assembling the table, it was evident that the legs were COCKEYED and uneven.",askew,sturdy,balanced,aligned,,,,,,,,,Matched (3),2,213,-0.040678699,-0.76759988,-2.758297,-1.814664,-0.54790318,,,
chairman,The CHAIRMAN thanked all the stakeholders for their continued support and cooperation.,president,clerk,visitor,observer,,,,,,,,,Matched (3),1,242,-0.1185334,-1.19092,0.41878209,-0.031857401,-0.3334876,,,
maser,The soldier's GALLANTRY on the battlefield earned him a prestigious medal.,bravery,clumsiness,hesitation,fear,error,,"error, gallantry",,,,,,Matched (3),4,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
flatfoot,"Losing his balance, he stumbled like a true FLATFOOT at the dance competition.",clumsy person,seasoned dancer,enthusiastic spectator,experienced judge,,,,,,,,,Matched (3),2,202,-0.2466592,-1.381254,-3.907021,-2.541116,-0.0142465,,,
furl,"After the ceremony, the scouts began to FURL the flag with great care.",roll up,raise,clean,wave,,,,,,,,,Matched (3),6,2,4.4475169,-1.202444,-3.6364181,-1.876068,-2.0004311,,,
sexist,The legislation aimed to address SEXIST practices in the workplace.,biased,innovative,popular,routine,best,,,,,,,,Matched (3),2,132,-0.0820399,-0.92341328,-1.278107,-2.145349,-0.62240058,,,
cuisine,"The restaurant is known for its exceptional Italian CUISINE, which includes a variety of handmade pasta and wood-fired pizzas.",food,decoration,furniture,service,,,,,,,,,Matched (3),3,131,-0.27762479,-1.787961,-1.220778,-3.407022,-0.61102748,,,
leukemia,"Despite the PLAINNESS of the dress, it had a certain elegance that captivated everyone.",simplicity,extravagance,colorfulness,intricacy,low valence,,"error, plainness",,,,,,Matched (3),2,240,-0.31665069,-2.0527489,-1.097963,-4.2865329,0.1438029,,,
leukemia,The PLAINNESS of the room made it feel cold and uninviting.,simplicity,brightness,complexity,warmth,low valence,,"error, plainness",,,,,,Matched (3),6,240,-0.31665069,-2.0527489,-1.097963,-4.2865329,0.1438029,,,
illusionist,"As an experienced ILLUSIONIST, she was able to create the perfect distraction to pull off her trick.",conjurer,performer,musician,sculptor,,,,,,,,,Matched (3),6,411,-0.3273052,-1.594017,-2.8522689,-4.0830188,0.95325023,,,
lonesomeness,"After moving to a new city, Sarah often felt an overwhelming sense of LONESOMENESS.",solitude,excitement,adventure,contentment,best,,,,,,,,Matched (3),1,401,-0.1599735,-1.621555,-4.5216379,-1.475298,-1.353377,,,
connive,"When the children conspired to sneak out of the house, they had to CONNIVE to avoid getting caught by their parents.",conspire,argue,greet,report,,,,,,,,,Matched (3),1,103,-0.26315349,-0.86938512,-3.664176,-2.0236249,-0.84021032,,,
cockeyed,Her plans for the weekend were so COCKEYED that no one could take them seriously.,absurd,organized,logical,thrilling,,,,,,,,,Matched (3),3,213,-0.040678699,-0.76759988,-2.758297,-1.814664,-0.54790318,,,
cock,He always had to COCK his hat at a jaunty angle before leaving the house.,tilt,clean,remove,straighten,,,,,,,,,Matched (3),6,44,7.8873739,1.550397,-0.51192141,-1.025781,-2.303277,,,
fairlead,"The sailor adjusted the rope, ensuring it ran smoothly through the FAIRLEAD on the deck.",pulley,anchor,mast,compass,,,,,,,,,Matched (3),6,201,-0.1886946,-1.80564,-4.6749678,-2.15169,-1.2429529,,,
camion,"During the harvest season, a CAMION full of fresh produce arrives at the market daily.",lorry,van,basket,crate,,,,,,,,,Matched (3),2,100,-0.2961998,-1.921082,-4.548708,-4.2347031,0.1059327,,,
wormhole,"In the movie, the astronauts enter a WORMHOLE to explore a distant galaxy, hoping it will lead to habitable planets.",passage,crater,device,adventure,best,,,,,,,,Matched (3),3,221,-0.2941111,-1.735162,-2.118541,-2.258543,-0.16423281,,,
furl,The campground guide instructed everyone to FURL their tents before leaving.,pack up,set up,inspect,clean,best,,,,,,,,Matched (3),2,2,4.4475169,-1.202444,-3.6364181,-1.876068,-2.0004311,,,
warden,The WARDEN of the wildlife reserve was pleased to see an increase in the population of endangered species.,guardian,predator,tourist,scientist,best,,,,,,,,Matched (3),6,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
bulgy,"After the long hike, her eyes were BULGY from lack of sleep.",swollen,cheerful,radiant,sleepy,,,,,,,,,Matched (3),1,0,1.012418,-2.1170831,-3.63605,-2.3103111,-1.1563129,,,
qualified,"After years of study and practice, she finally felt QUALIFIED to lead the complex project.",competent,interested,anxious,puzzled,,,,,,,,,Matched (3),3,344,0.96425962,1.049781,0.42407101,0.33706129,0.075604998,,,
predictor,The results of this study are seen as a strong PREDICTOR of future economic trends.,indicator,component,participant,outcome,,,,,,,,,Matched (3),2,333,-0.27627951,-0.7265473,-1.421664,-2.082128,0.088023998,,,
furl,"Before the storm hit, the sailors needed to FURL the sails to prevent any damage.",wrap up,hoist,sew,mend,,,,,,,,,Matched (3),3,2,4.4475169,-1.202444,-3.6364181,-1.876068,-2.0004311,,,
cuisine,His interest in French CUISINE led him to enroll in a prestigious cooking school in Paris.,cooking,culture,art,language,,,,,,,,,Matched (3),1,131,-0.27762479,-1.787961,-1.220778,-3.407022,-0.61102748,,,
sandstone,"The ancient cliff dwellings were composed of soft, easily eroded SANDSTONE.",sedimentary rock,granite,marble,quartz,,best,,,,,,,Matched (3),5,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
lethal,"The spider's bite proved to be LETHAL to its prey, causing it to die within minutes.",deadly,mild,soothing,annoying,low valence,,,,,,,,Matched (3),3,140,-0.24656171,-1.909003,-0.7158286,-0.34009531,-1.0112211,,,
absurd,It seemed ABSURD to wear a coat in the middle of summer.,nonsensical,stylish,elegant,traditional,best,,,,,,,,Matched (3),1,143,-0.27547029,-0.33618081,-0.1334749,0.4164384,-0.9263159,,,
scrubwoman,The SCRUBWOMAN worked diligently to ensure that the office floors were spotless by morning.,cleaner,secretary,manager,designer,,,,,,,,,Matched (3),1,402,-0.30636829,-1.224812,-4.7836251,-1.54872,1.176652,,,
alternator,The mechanic discovered that the car wasn't starting because the ALTERNATOR was faulty.,generator,accelerator,battery,ignition,,best,best,2,,,,,Matched (3),5,420,-0.30819201,-1.872191,-1.969198,-5.0392842,0.71599817,,,
lethal,Handling the unknown chemical without proper gear could result in LETHAL consequences.,life-threatening,trivial,inconsequential,irrelevant,low valence,,,,,,,,Matched (3),1,140,-0.24656171,-1.909003,-0.7158286,-0.34009531,-1.0112211,,,
fanatic,Joan was such a FANATIC about fitness that she never missed a day at the gym.,enthusiast,skeptic,teacher,beginner,best,,,,,,,,Matched (3),3,133,-0.26747099,-0.75783157,-1.133706,-0.40174481,-0.4188486,,,
furl,The campground guide instructed everyone to FURL their tents before leaving.,pack up,set up,inspect,clean,best,best,,2,,,,,Matched (3),2,2,4.4475169,-1.202444,-3.6364181,-1.876068,-2.0004311,,,
ravishing,"Her performance as Juliet was RAVISHING, leaving the audience in awe.",enchanting,disappointing,ordinary,lengthy,best,,,,,,,,Matched (3),1,323,0.3565619,-0.67593253,-2.368639,-1.276878,-0.090618499,,,
oxbow,"The dramatic OXBOW in the river was a favorite spot for photographers, capturing the natural beauty of its sweeping curves.",bend,ridge,island,plateau,best,,,,,,,,Matched (3),3,3,3.9361429,-0.77629578,-3.584527,-4.413981,0.34657359,,,
misspent,She felt that her talents were MISSPENT in a job that didn't challenge her creatively.,squandered,developed,nurtured,respected,best,,,,,,,,Matched (3),2,212,-0.2478219,-1.4000469,-3.0503819,-2.6606159,0.126407,,,
horticultural,"She pursued a HORTICULTURAL career, focusing on landscape design and plant care.",gardening,technical,medical,artistic,best,,,,,,,,Matched (3),3,431,-0.2615549,-1.680624,-1.854432,-1.926352,-0.73360699,,,
camion,The workers used a large CAMION to transport the construction materials to the site.,truck,vehicle,tool,machine,,best,,,,,,,Matched (3),3,100,-0.2961998,-1.921082,-4.548708,-4.2347031,0.1059327,,,
ravishing,"Her performance as Juliet was RAVISHING, leaving the audience in awe.",enchanting,disappointing,ordinary,lengthy,best,best,,2,,,,,Matched (3),6,323,0.3565619,-0.67593253,-2.368639,-1.276878,-0.090618499,,,
heckle,"The fans started to HECKLE the opposing team from the stands, making it hard for the players to focus.",harass,encourage,silence,listen,,,,,,,,,Matched (3),6,113,0.63807422,-0.8503564,-2.972322,-0.79170609,-1.241866,,,
arthritis,The doctor recommended certain exercises to help alleviate the symptoms of ARTHRITIS.,inflammation,infection,dehydration,fatigue,,,,,,,,,Matched (3),3,340,-0.12660851,-1.904723,-0.84712368,-2.304491,0.4428041,,,
illusionist,The ILLUSIONIST captivated the audience with his mind-bending tricks and sleights of hand.,magician,actor,dancer,painter,best,,,,,,,,Matched (3),2,411,-0.3273052,-1.594017,-2.8522689,-4.0830188,0.95325023,,,
revealer,"In her speech, the whistleblower became the REVEALER of the company's fraudulent activities.",exposer,announcer,defender,admirer,best,,,,,,,,Matched (3),3,203,0.34346351,-0.29340589,-3.548661,-3.526083,-0.21713629,,,
krill,"The arctic waters are teeming with KRILL, which serves as a primary food source for many marine animals.",crustaceans,fish,corals,shells,,,,,,,,,Matched (3),6,20,-0.34873489,-2.2134731,-2.2394321,-4.1432748,1.261026,,,
tabernacle,,,,,,,,,,,,,,Using only (2),6,0,0,0,0,0,0,,,
indelicate,"In a moment of INDELICATE honesty, he revealed what he truly thought about his boss's proposal.",insensitive,delightful,articulate,vague,,,,,,,,,Matched (3),3,412,-0.29936731,-0.95933622,-3.2068291,-2.4164979,0.70149249,,,
jag,"After a three-day JAG of playing video games, Marcus finally decided to go outside and get some fresh air.",spree,break,period,task,,,,,,,,,Matched (3),3,4,12.20553,0.15818051,-4.1214519,-2.702574,-2.1945961,,,
maser,Her GALLANTRY in facing the difficult situation was admired by everyone in the community.,courage,confusion,frustration,uncertainty,error,,"error, gallantry",,,,,,Matched (3),6,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
leukemia,"LEUKEMIA is a type of illness that affects the blood and bone marrow, often requiring complex treatment.",blood cancer,influenza,bronchitis,migraine,low valence,,best,,,,,,Matched (3),3,240,-0.31665069,-2.0527489,-1.097963,-4.2865329,0.1438029,,,
heroin,The rising number of overdoses in the city has been attributed to the increase in HEROIN use.,narcotic,aspirin,vitamin,beverage,low valence,,,,,,,,Matched (3),2,141,0.31694669,-1.678611,-0.46049181,-3.16364,-0.96431422,,,
prior,The regulations require that any changes be approved by the committee PRIOR to implementation.,before,along,regarding,despite,,,,,,,,,Matched (3),3,43,-0.098242998,-0.36258131,0.88622171,1.053866,-1.584538,,,
urbane,The diplomat's URBANE manner made negotiations smoother and more pleasant.,sophisticated,rough,awkward,simplistic,best,,,,,,,,Matched (3),1,120,0.1370928,-1.99813,-2.3231399,-0.77313328,-1.097759,,,
larval,"The scientific study focused on the LARVAL stage of butterflies, an essential period before they become adults.",juvenile,mature,ancient,complete,best,,,,,,,,Matched (3),2,122,0.41066369,-1.021612,-2.038965,-3.3829,-1.004505,,,
opulence,The palace's grandeur and OPULENCE were apparent in every gilded room and ornate hall.,luxury,simplicity,cleanliness,modesty,,,,,,,,,Matched (3),2,222,-0.27608979,-1.456144,-2.3709819,-1.408294,0.075805902,,,
qualified,Only those with at least five years of experience are considered QUALIFIED for this senior position.,eligible,eager,relieved,busy,,best,,,,,,,Matched (3),6,344,0.96425962,1.049781,0.42407101,0.33706129,0.075604998,,,
boathouse,The couple rented a BOATHOUSE to enjoy their vacation by the river.,marina,hotel,apartment,chalet,,,,,,,,,Matched (3),2,321,-0.26764661,-1.670868,-2.0409291,-2.2896399,-0.28770381,,,
lethal,"The spider's bite proved to be LETHAL to its prey, causing it to die within minutes.",deadly,mild,soothing,annoying,low valence,,,,,,,,Matched (3),3,140,-0.24656171,-1.909003,-0.7158286,-0.34009531,-1.0112211,,,
heroin,Health officials are concerned about the surge in HEROIN addiction among teenagers.,narcotic,caffeine,medication,snacks,low valence,,,,,,,,Matched (3),6,141,0.31694669,-1.678611,-0.46049181,-3.16364,-0.96431422,,,
gumbo,"At the family gathering, everyone savored the hearty bowl of GUMBO.",stew,salad,dessert,sandwich,best,,,,,,,,Matched (3),3,24,0.38425121,-0.2290304,-1.924482,-3.98806,-1.130899,,,
shallows,She carefully navigated her boat through the SHALLOWS to avoid getting stuck.,shallows,open sea,whirlpool,current,error,,,,,,,,Matched (3),2,224,-0.23383801,-0.1288913,-2.393662,-1.003582,-0.66908282,,,
alternator,"When the headlights began to dim, he knew the problem was most likely a failing ALTERNATOR.",generator,carburetor,muffler,brake,,,,,,,,,Matched (3),3,420,-0.30819201,-1.872191,-1.969198,-5.0392842,0.71599817,,,
horticultural,The university offers a variety of HORTICULTURAL programs to teach students about plant cultivation and garden management.,gardening,historical,mathematical,musical,,,,,,,,,Matched (3),1,431,-0.2615549,-1.680624,-1.854432,-1.926352,-0.73360699,,,
krill,Whales often feed on vast swarms of KRILL in the ocean.,shrimp,algae,plankton,seaweed,best,,,,,,,,Matched (3),2,20,-0.34873489,-2.2134731,-2.2394321,-4.1432748,1.261026,,,
bile,The doctor's report indicated that excessive production of BILE can lead to digestive problems.,gall,urine,saliva,blood,,,,,,,,,Matched (3),6,32,9.9766979,-1.16453,-1.22528,-2.910171,-2.1054249,,,
newsgroup,The company's marketing team decided to promote their latest product on a technology NEWGROUP.,forum,report,presentation,broadcast,error,,,,,,,,Matched (3),3,313,-0.1684902,-0.53684568,-3.0395761,-3.9820509,1.509396,,,
glum,The team was feeling GLUM after losing the championship game.,dejected,joyful,energetic,hopeful,,,,,,,,,Matched (3),3,22,2.5134561,-0.93412977,-2.116667,-0.75670159,-1.780383,,,
gallantry,,,,,,,,,,,,,,Master only (1),1,324,0.3305549,-0.14660791,-2.2786479,-0.96221977,0.2479472,,,
scrubwoman,"As the SCRUBWOMAN went about her tasks, she silently hummed a cheerful tune.",janitor,accountant,supervisor,receptionist,best,,,,,,,,Matched (3),3,402,-0.30636829,-1.224812,-4.7836251,-1.54872,1.176652,,,
siege,"During the SIEGE, the defenders tried to negotiate terms of surrender with the besieging army.",blockade,festival,expedition,reconstruction,,,,,,,,,Matched (3),1,42,1.2399991,-1.067807,-0.54198372,-0.71689749,-1.78505,,,
mousy,"Despite her talent, Lily often felt overshadowed as her more outspoken friends considered her too MOUSY to make an impact.",timid,confident,creative,loud,,,best,,,,,,Matched (3),6,13,0.89446092,-0.3272649,-2.6498239,-1.124418,-1.435003,,,
trait,Creativity is a TRAIT commonly found among artists and innovators.,quality,role,activity,action,,,,,,,,,Matched (3),2,41,1.508086,-1.588469,-0.40775961,-0.34008011,-1.716779,,,
drowse,"During the long lecture, several students began to DROWSE.",nod off,write,question,listen,,,,,,,,,Matched (3),2,104,0.76799208,-0.2653406,-3.840909,-2.2172611,-1.492648,,,
courtyard,We enjoyed our morning coffee in the quiet COURTYARD away from the noise of the street.,quad,office,rooftop,sidewalk,,,,,,,,,Matched (3),3,341,-0.30782959,-1.686005,-0.46833819,-0.76049489,0.28262949,,,
protrusion,The PROTRUSION on the surface of the table made it difficult to write smoothly.,lump,depression,stain,design,,,,,,,,,Matched (3),3,413,-0.31331891,-0.86186528,-2.84198,-3.8400431,0.47545919,,,
depiction,The book's DEPICTION of rural life in the 19th century is both poignant and thorough.,illustration,celebration,disruption,commentary,,,,,,,,,Matched (3),6,334,-0.291242,0.1579157,-1.692847,-2.6202991,-0.031723399,,,
cuisine,His interest in French CUISINE led him to enroll in a prestigious cooking school in Paris.,cooking,culture,art,language,,,,,,,,,Matched (3),6,131,-0.27762479,-1.787961,-1.220778,-3.407022,-0.61102748,,,
guerrilla,The revolutionary wave gained strength thanks to the relentless efforts of the GUERRILLA movement.,insurgent,commanding,structured,diplomatic,low valence,,,,,,,,Matched (3),1,342,-0.33313689,-1.17221,-0.70110953,-1.929737,-0.018197101,,,
jovial,The JOVIAL atmosphere of the party made everyone feel welcome and happy.,festive,tense,somber,quiet,,,,,,,,,Matched (3),3,130,0.3572045,-1.879122,-1.832177,-0.83017749,-0.6918866,,,
drowse,"After a big meal, he couldn't help but DROWSE in the comfy armchair.",doze,eat,read,cry,best,,,,,,,,Matched (3),6,104,0.76799208,-0.2653406,-3.840909,-2.2172611,-1.492648,,,
trine,"Astrologers believe that when a TRINE occurs, it often signifies a period of harmony and balance.",conjunction,conflict,separation,growth,,,,,,,,,Matched (3),6,1,-0.2784304,-1.69938,-4.7801962,-3.144105,-0.17243171,,,
jag,"After a three-day JAG of playing video games, Marcus finally decided to go outside and get some fresh air.",spree,break,period,task,,,best,,,,,,Matched (3),3,4,12.20553,0.15818051,-4.1214519,-2.702574,-2.1945961,,,
illusionist,The ILLUSIONIST captivated the audience with his mind-bending tricks and sleights of hand.,magician,actor,dancer,painter,best,best,best,3,,,,,Matched (3),2,411,-0.3273052,-1.594017,-2.8522689,-4.0830188,0.95325023,,,
maser,The MASER technology has greatly advanced our ability to amplify microwave signals with high precision.,amplifier,recorder,generator,filter,error,,,,,,,,Matched (3),2,10,-0.33237791,-2.029043,-2.793901,-2.6734631,1.335739,,,
arthritis,Maria often experiences joint pain and stiffness due to her ARTHRITIS.,inflammation,sprain,fracture,bruise,best,,,,,,,,Matched (3),5,340,-0.12660851,-1.904723,-0.84712368,-2.304491,0.4428041,,,
qualified,"After years of study and practice, she finally felt QUALIFIED to lead the complex project.",competent,interested,anxious,puzzled,,,,,,,,,Matched (3),3,344,0.96425962,1.049781,0.42407101,0.33706129,0.075604998,,,
bile,The doctor's report indicated that excessive production of BILE can lead to digestive problems.,gall,urine,saliva,blood,,best,,,,,,,Matched (3),1,32,9.9766979,-1.16453,-1.22528,-2.910171,-2.1054249,,,
revealer,The archaeologist was thrilled to be the REVEALER of the ancient tomb's hidden treasures.,unveiler,guard,explorer,visitor,,,,,,,,,Matched (3),2,203,0.34346351,-0.29340589,-3.548661,-3.526083,-0.21713629,,,
twain,"The poet famously wrote about the day when the lovers would be together again, no longer separated by TWAIN roads.",two,winding,narrow,dusty,,,,,,,,,Matched (3),3,31,-0.2780019,-1.531244,-1.344256,-0.1242228,0.54951268,,,
contour,The makeup artist used different shades to highlight and define the CONTOUR of her cheekbones.,shape,sparkle,hue,length,best,,,,,,,,Matched (3),3,144,-0.28759351,0.49197999,-0.83968961,-0.6492542,-0.63873678,,,
mulishness,Her MULE refusal to compromise strained relationships within the team.,intransigence,generosity,cooperation,unpredictability,,,,,,,,,Matched (3),2,404,10.08358,0.66707069,-4.8308201,-1.616565,-1.0847991,,,
proportionate,The amount of water used should be PROPORTIONATE to the number of plants in the garden.,corresponding,excessive,minimal,random,,,,,,,,,Matched (3),1,433,-0.3325581,-0.44431701,-1.646377,0.27366021,1.445199,,,
tote,She decided to TOTE all the groceries in a reusable bag instead of using plastic bags.,carry,cook,sell,store,best,,,,,,,,Matched (3),1,33,7.4764848,-0.80139607,-1.6799819,-2.800555,-2.0980661,,,
vodka,,,,,,,,,,,,,,Matched (3),2,40,-0.26617149,-1.936461,-0.93656182,-2.0647719,-0.99949259,,,
opulence,"Despite the city's economic challenges, the downtown area was a beacon of OPULENCE and prosperity.",wealth,poverty,decay,neutrality,,,,,,,,,Matched (3),6,222,-0.27608979,-1.456144,-2.3709819,-1.408294,0.075805902,,,
readership,Her CAREFREE attitude towards life often made her the center of attention at gatherings.,subscribers,printers,editors,revenue,,,,,,,,,Matched (3),6,430,0.31258231,-1.973892,-1.804208,-2.4449971,0.4270142,,,
devour,"After the long hike, the campers sat by the fire to DEVOUR their dinner.",gobble,discuss,examine,scatter,,,,,,,,,Matched (3),2,134,0.55286598,0.1453242,-1.417629,0.0264236,-1.0401241,,,
readership,Her CAREFREE attitude towards life often made her the center of attention at gatherings.,followers,articles,contributors,format,,error,,,,,,,Matched (3),2,430,0.31258231,-1.973892,-1.804208,-2.4449971,0.4270142,,,
warden,The PRISON'S WARDEN announced new policies to improve inmate rehabilitation programs.,superintendent,prisoner,visitor,officer,,,,,,,,,Matched (3),3,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
uncivilized,"The explorers encountered an UNCIVILIZED tribe in the dense jungle, one that had never had contact with the outside world.",barbaric,modern,tidy,friendly,,,,,,,,,Matched (3),3,421,-0.142992,-1.708593,-1.973217,-0.94818372,1.2863261,,,
oxbow,"The river carved out an OXBOW over centuries, creating a unique u-shaped bend.",meander,cliff,waterfall,delta,,,,,,,,,Matched (3),2,3,3.9361429,-0.77629578,-3.584527,-4.413981,0.34657359,,,
maintain,The engineer assured that they would MAINTAIN the bridge to prevent any accidents.,preserve,neglect,destroy,construct,best,,,,,,,,Matched (3),2,244,-0.2935206,1.158138,1.227385,1.317452,-0.53492612,,,
hieroglyphic,The ancient Egyptians used a complex system of HIEROGLYPHIC symbols to write on temple walls.,pictorial,numeric,modern,auditory,best,,,,,,,,Matched (3),2,414,-0.37601879,-0.2375336,-2.7388,-0.89305788,1.743057,,,
paranoid,"The doctor assured her that there was nothing to worry about, but she remained PARANOID.",fearful,relaxed,cheerful,indifferent,,best,,,,,,,Matched (3),3,243,0.3343578,-0.88213903,-0.83828598,-1.888139,0.0072689,,,
cymbal,"In the rock band's energetic finale, the drummer's rhythmic hits on the CYMBAL echoed through the stadium.",gong,microphone,bass,keyboard,,,,,,,,,Matched (3),3,111,-0.16573361,-1.640889,-2.631809,-1.809988,-1.017489,,,
surveillance,The government used advanced technology for SURVEILLANCE to keep an eye on potential threats.,observation,communication,negotiation,legislation,,,,,,,,,Matched (3),2,441,-0.3610445,-1.722721,-0.38584459,-0.4838253,1.111349,,,
warden,"After months of careful planning, the WARDEN successfully implemented a new security system.",administrator,guard,janitor,technician,,,,,,,,,Matched (3),4,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
cosmology,The book on COSMOLOGY provided an in-depth understanding of the universe’s evolution from the Big Bang to the present day.,astrophysics,biology,sociology,archaeology,,,,,,,,,Matched (3),1,332,-0.33200139,-0.91608858,-1.528409,-2.5938151,0.7309643,,,
divvy,The team leader asked everyone to DIVVY the workload to ensure the project meets its deadline.,apportion,delay,create,understand,,,,,,,,,Matched (3),3,11,-0.0276288,-1.5388,-3.0263779,-3.5673699,-1.386676,,,
frontage,The new restaurant boasts a stunning FRONTAGE that attracts many customers.,facade,menu,kitchen,staff,,,,,,,,,Matched (3),2,223,-0.27875519,-0.46103421,-2.41435,-3.060307,-0.2178272,,,
proportionate,Her salary increase was PROPORTIONATE to her contribution to the project.,equivalent,irrelevant,minor,unexpected,,,,,,,,,Matched (3),2,433,-0.3325581,-0.44431701,-1.646377,0.27366021,1.445199,,,
frontage,The store's charming FRONTAGE was decorated with festive lights for the holidays.,facade,sale,inventory,display,best,,,,,,,,Matched (3),3,223,-0.27875519,-0.46103421,-2.41435,-3.060307,-0.2178272,,,
scald,The chef quickly learned that it was easy to SCALD the milk if he wasn't attentive.,overheat,stir,cool,smell,,best,,,,,,,Matched (3),3,14,1.29459,0.80656302,-2.6992359,-2.331425,-1.525347,,,
