Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
dozy,"After the long lunch, everyone at the office felt DOZY and unmotivated to work.",drowsy,incompetent,energetic,alert
pacer,"During the race, the experienced runner acted as a PACER to help set the speed for the other athletes.",guide,runner,spectator,coach
billow,"The smoke began to BILLOW out of the chimney, filling the air with a dense cloud.",swell,receipt,drift,fall
frisky,"Despite the long day, the puppy was still feeling quite FRISKY, bouncing around the room with endless energy.",lively,mischievous,calm,sleepy
suave,"Despite the tense situation, he remained SUAVE and collected, making everyone feel at ease.",charming,smooth,anxious,clumsy
tinny,The radio in the old car produced a TINNY sound that was hard to enjoy.,metallic,container,soft,loud
shale,The geologist was fascinated by the SHALE because it provided clues about the ancient seabed.,sedimentary rock,container,mountain,plant
ledge,The hiker carefully made his way along the narrow LEDGE overlooking the valley below.,shelf,cliff,path,wall
ascend,"As the negotiations continued, John began to ASCEND in his influence within the company.",rise,climb,disappear,relax
cougher,"During the performance, the COUGHER in the back row was quite distracting.",hack,sneezer,whisperer,sleeper
entwine,The author skillfully ENTWINES the various storylines to create a compelling narrative.,interweaves,untwists,separates,narrates
misprint,The newspaper had to issue a correction because there was a MISPRINT in yesterday's article.,error,typography,addition,statement
leaguer,"During the medieval siege, the castle inhabitants were forced to ration their supplies due to the LEAGUER set by the enemy troops.",siege,athlete,agreement,festival
fallback,"In case the main plan doesn't work, we have a FALLBACK option ready to implement.",backup,retreat,discovery,choice
clamber,The hikers had to CLAMBER over the rocky terrain to reach the summit.,scramble,argue,stroll,glide
euphoria,"After the team won the championship, the entire city was filled with a sense of EUPHORIA.",elation,ecstasy,confusion,indifference
evident,Her dissatisfaction with the decision was EVIDENT in her facial expression.,apparent,proof,obscure,noticeable
priority,The company's new marketing strategy became a top PRIORITY for the management team.,focus,importance,activity,option
indestructibility,The spaceship's designers boasted about its INDESTRUCTIBILITY in the harshest of space environments.,durability,fragility,capability,compatibility
crossbreed,"The farmer decided to CROSSBREED the two different kinds of sheep to produce a stronger, more resilient flock.",hybridize,interspecies,feed,separate
barebacked,The riders competed in the rodeo while riding BAREBACKED.,without a saddle,without clothes,cautiously,safely
undiluted,Her passion for art remained UNDILUTED even after years of criticism.,pure,mixed,diminished,evident
waistcoat,He wore a beautifully tailored WAISTCOAT over his shirt to the formal dinner.,vest,belt,jacket,scarf
positivity,Her POSITIVITY in the face of adversity inspired everyone around her.,optimism,addition,creativity,brightness
advisable,"Given the storm warning, it is ADVISABLE to postpone the outdoor event.",prudent,suggested,entertaining,risky
undergraduate,"She received a scholarship for her UNDERGRADUATE research project, which focused on renewable energy sources.",bachelor's,student,advanced,professional
extraction,The challenge was to ensure the safe EXTRACTION of valuable minerals from the depths of the Earth.,removal,surgery,exploration,transportation
