Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
irk,The constant noise from the construction site began to IRK Jenny as she tried to focus on her work.,annoy,solve,excite,confuse
gorger,"During the festival, he earned a reputation as a GORGER, devouring more food than anyone else.",glutton,performer,contributor,spectator
rove,"The photographer loved to ROVE through the countryside, capturing images of the ever-changing landscape.",wander,sprint,hide,rest
clef,"The musician carefully read the sheet music, noting the change from the treble CLEF to the bass CLEF.",symbol,note,instrument,scale
embed,The journalist managed to EMBED herself within the military unit to report accurately from the front lines.,integrate,argue,ignore,provoke
refuel,"After driving for several hours, we had to stop at a gas station to REFUEL the car.",replenish,decorate,examine,abandon
dorm,"After a long day of classes and study sessions, Jenna was relieved to return to her DORM and relax.",residence hall,cafeteria,library,gymnasium
tundra,"During our expedition through the Arctic, we encountered vast stretches of barren TUNDRA, which were virtually devoid of trees.",plain,forest,desert,hill
astray,The company's project went ASTRAY due to the lack of proper planning and communication.,off course,smoothly,ahead,successfully
clubfoot,The doctor explained that a person with a CLUBFOOT may require physical therapy or surgery to correct the condition.,deformity,injury,disease,infection
whicker,"As the sun set, the horses began to WHICKER softly, their gentle sounds filling the stable.",neigh,whisper,chatter,rustle
windage,The sharpshooter adjusted for WINDAGE before taking the shot to ensure accuracy.,drift,pressure,trajectory,caliber
latrine,"During the camping trip, everyone was instructed to use the designated LATRINE to maintain cleanliness and hygiene at the site.",toilet,tent,table,trail
pitiless,"The movie's antagonist was known for his PITILESS actions, showing no compassion or mercy to anyone who crossed his path.",merciless,considerate,hesitant,forgiving
nightcap,"After the dinner party, John offered his guests a NIGHTCAP before they left for the evening.",drink,story,blanket,tour
overview,The report provided a comprehensive OVERVIEW of the project's progress and upcoming milestones.,summary,analysis,detail,critique
stamina,"After running the marathon, Rachel was praised for her incredible STAMINA and ability to maintain a steady pace throughout the race.",endurance,agility,flexibility,enthusiasm
domestic,The company has decided to focus more on its DOMESTIC market than expanding internationally for the next few years.,local,foreign,corporate,emerging
unprompted,"Her apology was UNPROMPTED, and it caught everyone by surprise.",spontaneous,rehearsed,scripted,delayed
foodstuff,"The grocery store carries a wide variety of FOODSTUFFS from different cultures, ensuring there is something for everyone.",groceries,utensils,decorations,clothing
gentlemanlike,His behavior at the event was so GENTLEMANLIKE that everyone praised his graciousness and politeness.,chivalrous,clumsy,boisterous,selfish
bronchitis,"After suffering from a persistent cough and wheezing, the doctor diagnosed Maria with BRONCHITIS, which requires rest and medication to recover.",inflammation,fatigue,infection,allergy
unscheduled,The sudden storm forced the pilot to make an UNSCHEDULED landing at a nearby airport.,unexpected,planned,routine,regular
mystified,"Sarah was completely MYSTIFIED by the magician's trick, unable to comprehend how he pulled a rabbit out of an empty hat.",perplexed,entertained,distracted,engaged
notorious,"The city is NOTORIOUS for its heavy traffic, which often causes delays during rush hour.",infamous,celebrated,pleasant,obscure
effectively,The teacher was able to explain the complex concept so EFFECTIVELY that all the students understood it by the end of the class.,efficiently,loudly,softly,abruptly
counseling,"After the unexpected loss of his father, Jake sought COUNSELING to help him process his emotions and find a way forward.",therapy,advice,education,entertainment
