Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata3
wringer,-2.8859324,-1.1354356,-0.00045369001,-3.0708737,-1.6998904,000
gobbler,-2.6962483,-0.73836333,1.8312085,-3.0140071,-1.1498125,001
dodger,-3.9265628,-1.3308705,1.6853464,-1.3808492,-0.5506385,002
vial,-1.83096,-1.6967337,0.83368284,-3.4287434,-1.7213384,010
accessibility,-1.6358925,-0.78356069,3.6976764,-0.96987641,-1.1748506,011
detain,-1.8312047,-1.1108109,1.0320195,-0.26878682,-0.34518945,012
bra,-1.0792134,-2.088249,1.8792745,-2.8317704,-1.6655086,020
shrewd,-1.0663064,-1.4179497,0.52442193,0.52504617,-0.94049555,021
resist,0.40891355,-0.98274291,0.38930681,1.0939465,0.77511567,022
outclass,-4.6829348,-0.3572917,-0.27315021,-2.1743407,-1.931283,100
liquefy,-3.0181251,-0.091894023,-0.29245755,-1.5726297,-0.77495199,101
outrace,-3.0331247,-0.54679257,-0.053675421,-2.3134997,-0.50690246,102
avoidant,-2.6041749,-0.49735108,-0.27682754,-4.021328,-2.0559993,110
phonetic,-1.9304916,-0.26403347,-0.062156707,-2.8728924,-0.75883335,111
conquering,-1.4084299,0.12302849,-0.26994613,-0.57740784,0.0048119272,112
diploma,-0.82703376,-0.19257979,-0.30397069,-1.156763,-1.7075324,120
attentive,-0.94203484,-0.054759625,-0.27670845,0.36453071,-0.72600383,121
install,0.085072704,-0.63724852,-0.27204323,-1.0294484,-0.13133098,122
bailer,-3.5548983,1.4020548,-0.30257916,-3.98294,-2.0008843,200
wheedle,-2.8279712,1.0281533,-0.3349624,-1.6671512,-1.4839735,201
hart,-3.6395478,0.82007843,-0.29567197,0.49400285,-0.4641102,202
immunization,-1.7807875,1.4024055,-0.34072807,-2.3147471,-2.0237818,210
pessimism,-1.4920242,0.45992431,-0.13979173,-0.8772583,-0.71436882,211
amplification,-1.56949,1.6659795,-0.35500649,-2.2713404,0.045770541,212
invaluable,-0.94968575,0.73483902,-0.32310757,0.31387287,-1.7108153,220
ambassador,-0.11861859,0.76202035,-0.37050205,-1.0394571,-0.96656394,221
voluntary,0.096192501,0.52976942,-0.3316732,0.047235452,0.1781912,222
