Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D,age_range,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata3
gobbler,"During their trip to the countryside, they saw a wild GOBBLER strutting around the field.",turkey,eater,bird,animal,2-4,-2.6962483,-0.73836333,1.8312085,-3.0140071,-1.1498125,001
vial,The scientist carefully poured the chemical into a small VIAL for further experimentation.,container,glass,device,machine,2-4,-1.83096,-1.6967337,0.83368284,-3.4287434,-1.7213384,010
accessibility,The new software update has improved the ACCESSIBILITY of the application for users with disabilities.,usability,availability,speed,design,2-4,-1.6358925,-0.78356069,3.6976764,-0.96987641,-1.1748506,011
detain,The police were forced to DETAIN the suspect for further questioning.,hold,distract,release,summon,2-4,-1.8312047,-1.1108109,1.0320195,-0.26878682,-0.34518945,012
bra,"The archaeologists found an ancient BRA at the site, indicating it might have been used for rituals or ceremonies.",relic,undergarment,vessel,sculpture,2-4,-1.0792134,-2.088249,1.8792745,-2.8317704,-1.6655086,020
resist,The fabric is designed to RESIST water and stains.,withstand,oppose,attract,absorb,2-4,0.40891355,-0.98274291,0.38930681,1.0939465,0.77511567,022
outclass,"In the championship game, the underdog team managed to OUTCLASS their opponents with a flawless strategy.",surpass,overtake,understand,observe,2-4,-4.6829348,-0.3572917,-0.27315021,-2.1743407,-1.931283,100
outrace,The young startup managed to OUTRACE its competitors by quickly launching innovative products.,surpass,outrun,address,neglect,2-4,-3.0331247,-0.54679257,-0.053675421,-2.3134997,-0.50690246,102
avoidant,She was very AVOIDANT when it came to discussing her feelings in therapy.,evasive,uninterested,cooperative,persistent,2-4,-2.6041749,-0.49735108,-0.27682754,-4.021328,-2.0559993,110
phonetic,The children's book used a PHONETIC spelling system to help early readers understand how to pronounce difficult words.,sound-based,linguistic,visual,rhythmic,2-4,-1.9304916,-0.26403347,-0.062156707,-2.8728924,-0.75883335,111
conquering,Her CONQUERING attitude allowed her to excel in difficult environments.,dominating,defeating,cheerful,hesitant,2-4,-1.4084299,0.12302849,-0.26994613,-0.57740784,0.0048119272,112
diploma,"After years of hard work, she finally attained a DIPLOMA in environmental science.",certificate,degree,award,medal,2-4,-0.82703376,-0.19257979,-0.30397069,-1.156763,-1.7075324,120
attentive,The company provided an ATTENTIVE service that ensured all customer needs were promptly addressed.,thorough,aware,casual,indifferent,2-4,-0.94203484,-0.054759625,-0.27670845,0.36453071,-0.72600383,121
install,"After the election, the committee worked hard to INSTALL the new president.",inaugurate,set up,confuse,dismiss,2-4,0.085072704,-0.63724852,-0.27204323,-1.0294484,-0.13133098,122
immunization,The new IMMVNIZATION efforts have significantly reduced the incidence of the disease in the community.,vaccination,protection,prohibition,isolation,2-4,-1.7807875,1.4024055,-0.34072807,-2.3147471,-2.0237818,210
pessimism,"Despite the team's initial PESSIMISM about the project's success, their efforts eventually paid off.",negativity,optimism,curiosity,enthusiasm,2-4,-1.4920242,0.45992431,-0.13979173,-0.8772583,-0.71436882,211
amplification,The scientist provided an AMPLIFICATION of the initial findings to ensure everyone understood the significance of the results.,explanation,increase,summary,omission,2-4,-1.56949,1.6659795,-0.35500649,-2.2713404,0.045770541,212
invaluable,The team relied heavily on her INVALUABLE insights during the strategic planning session.,priceless,worthless,detailed,casual,2-4,-0.94968575,0.73483902,-0.32310757,0.31387287,-1.7108153,220
ambassador,"She was chosen to be the AMBASSADOR of the brand, representing its values and image globally.",representative,diplomat,traveler,announcer,2-4,-0.11861859,0.76202035,-0.37050205,-1.0394571,-0.96656394,221
voluntary,The company implemented VOLUNTARY guidelines to encourage sustainable practices.,optional,unpaid,mandatory,comprehensive,2-4,0.096192501,0.52976942,-0.3316732,0.047235452,0.1781912,222
