Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
irk,It really IRKS me when people leave their trash on the ground instead of using a garbage bin.,annoy,confuse,surprise,entertain
gorger,"During the festival, he was known as a GORGER, consuming plate after plate of food without pause.",glutton,observer,competitor,server
rove,"During the summer, the family decided to ROVE around the country, exploring new cities and experiencing different cultures.",wander,live,stay,work
clef,The musician carefully checked the sheet music to ensure the correct CLEF was noted for the opening piece.,symbol,note,phrase,melody
embed,The technician will EMBED the sensor into the machine to ensure accurate data collection.,implant,overlay,retrieve,isolate
refuel,"After a long drive, we had to stop at the gas station to REFUEL the car before continuing our journey.",replenish,decorate,abandon,investigate
dorm,"After a long day of classes, Maria was eager to return to her DORM to relax and study.",residence,library,cafeteria,gymnasium
tundra,The vast expanse of the Arctic TUNDRA is characterized by its cold climate and the lack of trees.,plain,forest,desert,ocean
astray,The hikers went ASTRAY and ended up miles away from their intended campsite.,off-course,uphill,quickly,smoothly
clubfoot,"The doctor confirmed that the newborn had a CLUBFOOT, which would require immediate medical attention.",deformity,feature,appendage,limb
whicker,The horses began to WHICKER softly as they sensed the approaching storm.,neigh,gallop,leap,graze
windage,The shooter adjusted the WINDAGE on his rifle scope to account for the crosswind.,air resistance,pressure,position,elevation
latrine,"During the camping trip, everyone was instructed to use the designated LATRINE located at the edge of the campsite.",toilet,kitchen,fireplace,staircase
pitiless,"The villain in the story was known for his PITILESS actions, showing no mercy to his enemies.",merciless,compassionate,humorous,considerate
nightcap,"After a long day at work, Tom enjoyed a NIGHTCAP before heading to bed.",drink,nap,snack,shower
overview,"Before starting the project, the manager provided an OVERVIEW of the main tasks and deadlines.",summary,critique,analogy,dialogue
stamina,"Despite the long and challenging marathon, Sarah demonstrated impressive STAMINA by finishing strong.",endurance,weakness,speed,motivation
domestic,The company decided to focus more on its DOMESTIC operations rather than expanding internationally.,local,foreign,distant,temporary
unprompted,"When Lisa began singing an UNPROMPTED song at the dinner table, everyone was pleasantly surprised.",spontaneous,rehearsed,awkward,planned
foodstuff,"The market was bustling with vendors selling various types of FOODSTUFFS, ranging from fresh fruits to exotic spices.",groceries,vehicles,accessories,landscapes
gentlemanlike,"Despite the heated debate, James remained GENTLEMANLIKE, treating his opponent with respect and courtesy.",polite,aggressive,dismissive,loud
bronchitis,"After several days of persistent coughing and difficulty breathing, Jamie was diagnosed with BRONCHITIS by her doctor.",inflammation,infection,complication,disorder
unscheduled,"Due to the sudden power outage, the meeting was UNSCHEDULED and will need to be rescheduled for a later date.",unexpected,thorough,typical,planned
mystified,The complex instructions left everyone in the room completely MYSTIFIED.,baffled,excited,speechless,relieved
notorious,The chef was NOTORIOUS for his fiery temper and demanding expectations in the kitchen.,infamous,esteemed,typical,modest
effectively,The teacher was able to explain the complex concept so EFFECTIVELY that all the students understood it by the end of the lesson.,efficiently,slowly,loudly,creatively
counseling,"After experiencing a stressful year, Jenna decided to seek COUNSELING to help her cope with her emotions and thoughts.",therapy,management,training,assessment
