Target_Word,Stem,Correct_Response,Response_B,Response_C,Response_D
apprehensive,Sarah felt APPREHENSIVE about her first day at the new school.,anxious,excited,confident,indifferent
apprehensive,He was APPREHENSIVE as the deadline for the important project approached.,nervous,eager,relaxed,prepared
apprehensive,The travelers were APPREHENSIVE when they noticed the storm clouds gathering.,uneasy,thrilled,ignorant,nonchalant
paranoid,"Because he was PARANOID, he always thought his coworkers were talking behind his back.",suspicious,carefree,confident,joyful
paranoid,"The doctor assured her that there was nothing to worry about, but she remained PARANOID.",fearful,relaxed,cheerful,indifferent
paranoid,His PARANOID behavior caused him to install multiple security cameras around his home.,distrustful,calm,content,exuberant
devour,The children were so hungry that they began to DEVOUR the sandwiches as soon as they were served.,consume,admire,ignore,decorate
devour,"After the long hike, the campers sat by the fire to DEVOUR their dinner.",gobble,discuss,examine,scatter
devour,"The wolves moved quickly to DEVOUR their prey, leaving nothing behind.",eat,create,protect,observe
Statehood,"After years of debate and political struggle, the territory was finally granted STATEHOOD.",autonomy,legislation,infrastructure,citizenship
Statehood,The celebrations to mark the centennial of STATEHOOD included a parade and fireworks.,sovereignty,governance,heritage,diversity
Statehood,Achieving STATEHOOD meant that the region could now elect its own representatives in the federal government.,independence,population,economy,culture
contour,The artist carefully outlined the CONTOUR of the model's face in the sketch.,outline,shadow,color,texture
contour,"The hiker's map showed every CONTOUR of the mountain terrain, making it easy to plan his route.",outline,peak,forest,rock
contour,The makeup artist used different shades to highlight and define the CONTOUR of her cheekbones.,shape,sparkle,hue,length
contour,"The process will OXYGENATE the water, making it suitable for the fish to breathe.",aerate,warm,filter,boil
contour,"To ensure the muscles receive enough energy, it's important to OXYGENATE the blood during heavy exercise.",enrich,dehydrate,dilute,cool
contour,The plant’s roots need to OXYGENATE through proper soil management to promote healthy growth.,ventilate,moisturize,fertilize,compact
untimely,Her UNTIMELY death shocked the entire community.,premature,predictable,averted,harmonious
untimely,The UNTIMELY arrival of the storm disrupted our outdoor event.,premature,welcome,sluggish,awkward
untimely,The CEO's UNTIMELY resignation left the company in disarray.,premature,celebrated,prolonged,notorious
angelical,Her ANGELICAL voice soothed everyone in the room.,heavenly,harsh,loud,grating
angelical,The ANGELICAL appearance of the child captivated all who saw her.,divine,ordinary,mischievous,tired
angelical,His ANGELICAL demeanor made him a favorite among the teachers.,pure,rude,exhausted,confused
siege,"The castle endured a long SIEGE, with supplies dwindling and morale sinking.",blockade,celebration,journey,refurbishment
siege,"During the SIEGE, the defenders tried to negotiate terms of surrender with the besieging army.",blockade,festival,expedition,reconstruction
siege,"The ancient city was under SIEGE for months, with enemy forces surrounding it completely.",blockade,vacation,appointment,restoration
contemporary,The gallery showcases CONTEMPORARY artworks from various modern artists.,modern,ancient,traditional,classical
contemporary,"As a CONTEMPORARY of Shakespeare, Christopher Marlowe shared similar themes in his plays.",peer,critic,historian,admirer
contemporary,The architect used CONTEMPORARY designs to give the building a sleek and up-to-date look.,current,historical,outdated,rustic
trine,"The ancient manuscript detailed how every 20 years, a rare TRINE of planets would be visible in the night sky.",alignment,explosion,discovery,mystery
trine,"Astrologers believe that when a TRINE occurs, it often signifies a period of harmony and balance.",conjunction,conflict,separation,growth
trine,"During the TRINE, the three celestial bodies formed a perfect triangle, mesmerizing everyone at the observatory.",configuration,alignment,disturbance,chaos
screenwriting,Sarah decided to take a course in SCREENWRITING to enhance her ability to create captivating movie scripts.,scriptwriting,drawing,singing,dancing
screenwriting,"SCREENWRITING requires a unique set of skills, different from those needed for writing novels or short stories.",scriptwriting,cooking,gardening,decorating
screenwriting,His passion for SCREENWRITING began when he watched his first classic film and imagined writing his own someday.,scriptwriting,acting,painting,sculpting
glum,"After hearing the bad news, she had a very GLUM expression on her face.",sad,happy,curious,excited
glum,The team was feeling GLUM after losing the championship game.,dejected,joyful,energetic,hopeful
glum,He seemed GLUM as he stared out the window at the rain.,gloomy,ecstatic,attentive,calm
cosmology,"In his lectures, the professor discussed the principles of COSMOLOGY and how they relate to the origins of the universe.",astrophysics,geology,anthropology,archaeology
cosmology,The book on COSMOLOGY provided an in-depth understanding of the universe’s evolution from the Big Bang to the present day.,astrophysics,biology,sociology,archaeology
cosmology,She decided to major in COSMOLOGY to explore the fundamental questions about the universe's origin and structure.,astrophysics,botany,musicology,economics
treble,The musician adjusted the settings to increase the TREBLE for a brighter sound.,high-frequency,bass,tempo,rhythm
treble,The audio engineer boosted the TREBLE to make the vocals clearer in the mix.,high-pitched,volume,balance,harmony
treble,"When the TREBLE was too high, the sound became sharp and piercing.",treble,distortion,duration,tone
sexist,The manager's remarks about female employees were considered SEXIST by the entire office.,discriminatory,complimentary,encouraging,indifferent
sexist,Her colleagues accused her of being SEXIST after she made derogatory comments about men's abilities.,prejudiced,thoughtful,curious,humble
sexist,The legislation aimed to address SEXIST practices in the workplace.,biased,innovative,popular,routine
protrusion,The rock had a small PROTRUSION that tripped several hikers.,bulge,indentation,groove,crack
protrusion,The PROTRUSION on the surface of the table made it difficult to write smoothly.,lump,depression,stain,design
protrusion,"Due to the PROTRUSION on the wall, hanging the painting perfectly flat was a challenge.",bump,hole,mark,artwork
larval,"The scientific study focused on the LARVAL stage of butterflies, an essential period before they become adults.",juvenile,mature,ancient,complete
larval,"In the aquarium, the fish are in their LARVAL form, requiring special care and feeding.",immature,developed,ancient,final
larval,The biologist emphasized the vulnerability of marine organisms during their LARVAL phase.,early,sophisticated,stagnant,last
absurd,The idea that the earth is flat is completely ABSURD.,ridiculous,fascinating,conventional,significant
absurd,It seemed ABSURD to wear a coat in the middle of summer.,nonsensical,stylish,elegant,traditional
absurd,The notion that he could finish his homework in ten minutes was simply ABSURD.,preposterous,diligent,plausible,acceptable
fusspot,"Ever since he became manager, John has turned into a real FUSSPOT, always worrying about the smallest details.",perfectionist,slacker,enthusiast,optimist
fusspot,Sarah’s friends find it hard to keep up with her demands sometimes because she can be such a FUSSPOT about things being in order.,nitpicker,leader,newcomer,dreamer
fusspot,"Because Martha is a FUSSPOT when it comes to cleanliness, her house is always spotless but it drives her family crazy.",fussbudget,traveler,extrovert,gambler
bighorn,"While hiking in the mountains, we were fortunate enough to spot a BIGHORN on a rocky ledge.",sheep,bird,lizard,bear
bighorn,"The national park is famous for its diverse wildlife, including the majestic BIGHORN.",sheep,deer,rabbit,fox
bighorn,"Rangers at the wildlife reserve are dedicated to protecting the BIGHORN, which is often targeted by poachers.",sheep,wolf,eagle,tiger
smoggy,"The air in the city was very SMOGGY, making it difficult to see the skyline.",hazy,clear,breezy,humid
smoggy,"Because the weather was SMOGGY, many people decided to stay indoors.",polluted,sunny,windy,calm
smoggy,The SMOGGY conditions in the industrial area were a cause for health concerns.,foggy,pristine,arid,tranquil
cock,The rooster began to COCK its head curiously at the noise coming from the barn.,tilt,hide,boast,perch
cock,She had to COCK the hammer back before taking aim with the rifle.,pull back,hide,drop,lift
cock,He always had to COCK his hat at a jaunty angle before leaving the house.,tilt,clean,remove,straighten
