v1,word,awl,gsl,core_avl,domain_avl,soc,sci,rel,his,med,law,fin,edu,hum,wg,frequency_gsl,complexity_gsl,proximity_gsl,polysemy_gsl,diversity_gsl,frequency_awl,complexity_awl,proximity_awl,polysemy_awl,diversity_awl,frequency_avlds,complexity_avlds,proximity_avlds,polydiv_avlds,missing,ortho_n,phono_n,og_n,old,pld,length,nphon,nsyll,nmorph,log_freq_hal,log_freq_kf,cocazipf,d,zenozipf,subzipf,cd,semd,wordage,freqband,z_sem_prec,wordsmyth_lnapossam,wordnet_lnapossam,word_uk,d_rt_mean,d_accuracy_mean,nmg_accuracy_mean,nmg_rt_mean,z_d_rt,z_d_accuracy,z_nmg_rt,z_nmg_accuracy,blprt,blpzscore,blpaccuracy,bg_mean,closed_class,sfi,lg10cd,lg10wf,word_age,occurtotal,occurnum,freq_pm,aoaknown,aoamean,aoasd,aoa,mrcaoa,frequency,image,dom_pos,bigram,concm,concsd,total_part,percent_known,percent_unknown,gradelevel,meanpctcor,prevalence_uk,prevalence_us,prevalence,prevalence_male,prevalence_female,aca_freq,ratio,disp,range,n_subjects,wffa_missing,_merge,age_band,quantile_aoamean,length2,complex_strata,frequency_strata,polysemy_strata,random_sample,sample_flag,strata,target
45052,apprehensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2336099,3.0888882,-.76401359,-1.2957554,.10279428,-1.5530769,1.4013367,-.34762406,-.91998082,.36933428,-.8536275,1.7498018,-.56395257,-.25936681,3.5714285,0,0,0,4.1500001,4.3499999,12,10,4,3,5.9699998,0,3.3493621,.71600002,3.2354882,2.7652223,20,1.8248742,437,5,-1.2624104,0,1.0986123,apprehensive,932.84375,.969697,1,727.42859,1.0833361,.64424604,-.05731852,.60587186,,,,3331.0901,0,.076126613,1.447158,1.4623981,411,20,20,.54901963,1,11.45,3.05,,,,,j,0,1.97,1.05,29,1,0,16,.88,2.5758293,2.4001782,2.4409697,2.1001656,2.5758293,0,,,,,3.5714285,Matched (3),Middle School,Middle school,12,4,3,2,.93300796,0,432,1
261073,paranoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6137118,1.510797,-.57569432,-1.3737819,-.98228258,-.83828604,.007268873,.33435783,-.88213903,-1.8881395,-.17044221,.49087954,-.29913753,-.55551779,3.5714285,1,1,1,3.0999999,3.95,8,7,3,2,8.6000004,.30103001,3.7181387,.43759999,3.2507281,4.0384231,13,1.5596831,207,5,-.21656057,1.0986123,.69314718,paranoid,667.625,.94117647,.96666664,747.24139,-.86198306,.49978539,.12349053,.33729041,,,,3652.71,0,-.12191486,2.605305,2.7355988,98,20,20,10.647058,1,12.3,3.1600001,,,,,j,0,1.77,1.14,30,1,0,,,2.1854327,2.3835187,2.3195267,2.2916176,2.3590999,0,,,,,3.5714285,Matched (3),Middle School,Middle school,8,2,4,3,.49617007,0,243,1
111784,devour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1658235,.23538925,-.46544707,-.48991042,-.77273816,-1.4176291,-1.0401236,.55286604,.14532422,.026423624,-.7956149,-.46264288,-.12833847,.376968,0,2,1,1,2.4000001,2.3,6,5,2,1,5.9099998,.30103001,3.2376082,.80260003,3.3446326,3.0431871,20,1.5908452,480,5,-.66478193,1.3862944,1.3862944,devour,808.89655,.93548387,.96296299,635.73077,.17421159,.47095153,-.89414072,.30744845,,,,2547.8,0,.238417,1.7323937,1.7403626,685,18,17,1.0588236,.94444442,10.18,3.3199999,,,,,v,0,3.1400001,1.3,28,1,0,10,.80000001,2.5758293,2.2832816,2.3393438,2.0568569,2.3447254,0,,,,,0,Matched (3),Middle School,Elementary,6,1,3,4,.4213326,0,134,1
344234,statehood,0,0,0,1,0,0,0,1,0,1,0,0,0,0,-2.3143892,1.435413,-.78056914,-2.2798359,-2.2244833,-1.6919461,.076111794,-.30695841,-1.7971762,-2.2228024,-1.0700759,.47027475,-.56037962,-1.4827011,14.285714,0,0,0,3.75,3.05,9,7,2,2,5.8000002,0,3.381747,.26429999,3.0436027,2.5332732,12,1.2192075,380,5,1.4269178,0,0,statehood,727.58618,.85294116,1,754.79309,-.42218143,.052860476,.19240633,.60587186,722.28571,.69744074,.39473686,4195.25,0,-.55760413,.77815127,1.230449,195,18,14,.3137255,.77777779,12.29,2.8900001,,,,,n,0,2.6600001,1.45,29,1,0,8,.77999997,1.0770642,1.8978879,1.5608776,1.2693982,1.5029702,376,1.5489382,.78612304,5,2,14.285714,Matched (3),Middle School,Middle school,9,3,3,1,.9251318,0,331,1
94394,contour,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.6793953,.67076766,-.76376659,-.30698153,-1.1402127,-.83968955,-.63873678,-.28759348,.49197996,-.6492542,-.37591392,-.10648162,-.51617843,.50006306,0,0,0,0,2.6500001,2.75,7,6,2,1,7.4099998,.77815127,3.4829698,.68800002,3.9089041,2.4789157,49,1.4973276,476,5,.82928932,1.9459101,1.3862944,contour,713.15625,.91428572,1,727.96155,-.52802169,.36357975,-.052454807,.60587186,610.81818,-.042732634,.92105263,4605.6699,0,.74470955,1.1461281,1.1760913,129,19,18,.27450982,.94736844,11.72,3.0999999,,,,,n,0,3.24,1.45,25,1,0,10,.73000002,2.5758293,2.1709774,2.2378511,1.8912652,2.2405224,1208,1.7399915,.89927,8,0,0,Matched (3),Middle School,Middle school,7,1,4,4,.312188,0,144,1
257589,oxygenate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8484728,2.3503072,-.69639063,-2.50383,-2.3351417,-3.4121034,.76135856,-.32073992,-2.2305741,-3.1469269,-2.6747692,1.1780472,-.53147513,-1.6646289,17.857143,0,0,0,3.75,4.3000002,9,9,4,2,3.8900001,0,2.1443071,0,1.7860218,2.0017943,1,1.1958357,210,4,-.36596769,0,0,oxygenate,1024,.85714287,.75862068,927.22729,1.7519464,.074142754,1.7660182,-1.3390267,,,,3680.3799,0,,.69897002,.69897002,42,19,19,.078431375,1,12.26,2.9000001,,,,,v,0,2.5899999,1.48,30,.97000003,.033333335,12,.81,1.8119106,1.5607589,1.6126456,1.3563118,1.677482,0,,,,,17.857143,Matched (3),Middle School,Middle school,9,3,0,0,.21025178,0,300,1
385902,untimely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5196264,1.2744001,-.68876058,-.80554479,-.082235985,-1.8532846,-.13446918,-.28438693,-.13593821,-.11992149,-1.1973038,.35528281,-.49743339,.21222243,0,0,0,0,2.8,2.7,8,7,3,3,5.9400001,0,3.0833097,.47240001,2.9924502,2.9560368,12,1.7954123,485,4,-1.2624104,1.3862944,1.0986123,untimely,943.58618,.85294116,.96551722,715.78571,1.1621294,.052860476,-.16356994,.32802907,,,,4355.8599,0,-.35974905,1.6334685,1.6532125,465,20,19,.86274511,.94999999,10,2.24,,,,,j,0,2,1.12,29,.97000003,.034482758,12,.46000001,2.1727386,2.0792344,2.1016791,2.0441625,2.0183067,0,,,,,0,Matched (3),Middle School,Elementary,8,2,3,4,.71062982,0,234,1
41462,angelical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5048485,1.1077958,-.30639386,-2.4695969,-4.9333186,-4.9739871,-.16622218,1.0193759,-1.8229798,-3.9799361,-4.3900404,.24370763,-.024869155,-1.7031685,71.428574,2,3,2,2.95,3.05,8,7,2,2,.69,.30103001,.38087919,0,1.7860218,1.6038543,2,.48289716,232,3,.82928926,0,0,angelical,,,,,,,,,,,,,,,.30103001,.30103001,491,19,19,.019607844,1,11.37,4.1399999,,,,,j,0,2.6500001,1.2,28,.93000001,.071428575,,,1.628607,1.5450242,1.566785,1.6473237,1.4611111,0,,,,,71.428574,Matched (3),Middle School,Middle school,9,3,0,1,.090667099,1,301,1
329574,siege,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1.2997133,-.6334939,-.23890196,-1.7737626,-1.0041314,-.54198366,-1.7850502,1.2399994,-1.0678066,-.71689749,-.020628342,-1.1718367,.17021474,-.80527455,0,3,25,1,1.85,1.75,5,3,1,1,7.46,.77815127,3.8857577,.5966,3.7377203,3.3783712,32,1.5450782,476,5,.82928926,1.0986123,0,siege,683.74194,.88571429,.88461536,715.04346,-.74376893,.21886125,-.17034361,-.32383254,657.25806,.060321361,.84210527,2617,0,.51001567,1.9637878,2.075547,610,18,18,2.3137255,1,12.28,3.01,,,,,n,0,3.1800001,1.25,28,1,0,8,.69999999,2.1878676,1.9070812,1.9667857,2.5758293,1.7265418,954,1.0758505,.83829969,6,1,0,Matched (3),Middle School,Middle school,5,0,4,2,.20554826,0,042,1
94149,contemporary,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-.17112234,3.911402,-.81204259,-.62749738,-.19356565,.6645453,2.0134835,-.38783202,-.01222843,.12890141,1.1945421,2.3934877,-.59325391,.41154638,0,0,0,0,4.5999999,5.3499999,12,12,5,3,8.9399996,1.7993406,4.7249374,.75089997,4.1999497,3.3028243,178,1.72271,495,6,-.51537478,1.3862944,1.3862944,contemporary,739.47058,1,.96666664,742.58618,-.33501205,.79773521,.081007674,.33729041,,,,2447.1799,0,1.0753651,1.9242793,2,369,18,18,1.9411764,1,12.28,3.6800001,,,,,j,0,1.96,1.16,27,1,0,10,.79000002,2.5758293,2.5758293,2.5758293,2.3205249,2.3562288,12180,2.0445518,.90893465,7,1,0,Matched (3),Middle School,Middle school,12,4,4,4,.97219259,0,444,1
370647,trine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.3498001,1.2241857,-.71633959,-2.3280828,-2.7273149,-4.7801957,-.17243174,-.27843037,-1.6993799,-3.1441047,-4.1760192,.22802037,-.50783169,-1.537655,75,0,1,0,3.7,3.8,8,6,2,1,1.95,.30103001,.38087919,0,1.7860218,1.3016658,1,1.1010226,208,4,1.1281035,.69314718,0,trine,,,,,,,,,,,,,,,0,0,300,18,5,.078431375,.27777779,11.6,3.3599999,,,,,,,,,0,,,,,-.9366883,-.34512553,-.48307097,-.39417508,-.581047,0,,,,,75,Matched (3),Middle School,Middle school,5,0,0,1,.90534741,0,001,1
319983,screenwriting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6680365,1.3432083,-.66246086,-1.2147535,-2.6277697,-3.3355427,.0088336812,-.26634035,-.78850579,-3.0004599,-2.5438459,.43450472,-.48856068,-.39745834,78.571426,0,0,0,2.6500001,2.6500001,9,7,3,3,2.71,0,2.5569704,0,1.7860218,2.257067,1,1.1233686,215,3,-1.2624104,.69314718,1.0986123,screenwriting,,,,,,,,,,,,,0,,.84509802,.95424253,,21,21,.15686275,1,11.76,4.3299999,,,,,v,0,3.78,1.37,27,1,0,,,2.0099661,2.1744831,2.1231532,2.1753492,2.3590999,0,,,,,78.571426,Matched (3),Middle School,Middle school,13,4,0,3,.58412021,0,403,1
156700,glum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6703196,-.65006846,.26580176,-1.3791184,-.50279081,-2.1166668,-1.7803832,2.5134561,-.93412983,-.75670159,-1.444568,-1.1177989,.81805968,-.48648587,0,7,7,3,1.7,1.6,4,4,1,1,4.23,0,3.018369,.39500001,3.1307528,3.0271003,11,1.7062589,339,4,-1.2624104,.69314718,.69314718,glum,727.96002,.7352941,.96551722,669.42859,-.41943938,-.5430392,-.5866189,.32802907,608.02856,-.18273473,.89999998,1219,0,-.29133379,1.690196,1.7242758,453,20,20,1.0196079,1,10.15,3.1700001,,,,,j,0,2.1099999,1.25,29,.93000001,.068965517,6,.88,2.5758293,1.7270577,1.8452581,1.5579658,1.7099869,0,,,,,0,Matched (3),Middle School,Elementary,4,0,2,2,.12694167,0,022,1
96904,cosmology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1815729,2.3400376,-.71546274,-1.4676565,-3.1454656,-1.5284094,.7309643,-.33200142,-.91608858,-2.5938148,-.91931403,1.1688453,-.54388309,-.73661631,0,0,0,0,3.7,3.8,9,9,4,3,6.8400002,.47712126,3.4339576,.58099997,2.6914203,2.1479223,2,.93092674,410,5,2.3233604,.69314718,.69314718,cosmology,724.88892,.84375,.85185188,937.78259,-.44196525,.0063059172,1.8623444,-.5878222,,,,2083.75,0,-.60087603,.77815127,.84509802,344,19,17,.11764706,.89473683,11.82,2.3,639,,-.2147,180,n,0,2.52,1.64,28,.88999999,.10714286,13,.52999997,1.7278301,1.6807387,1.6939738,1.9345667,1.5939771,0,,,,,0,Matched (3),Middle School,Middle school,9,3,3,2,.67408854,0,332,1
76731,casual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.67252105,.38893884,-.75470585,.43501735,.079996549,.18233064,-.91537941,-.2673173,1.1586854,.71027714,.73721898,-.30350116,-.50371391,1.3257329,0,0,0,0,2.1500001,2.45,6,6,2,1,8.5299997,1.3424227,4.2796593,.87290001,4.0460086,3.8756959,121,1.8200161,485,5,-1.2624104,1.7917595,2.1972246,casual,626.77417,.96875,.86206895,635.84003,-1.1616145,.63944936,-.89314365,-.50549883,537.39471,-.59519154,.94999999,3038,0,.98608679,2.4471581,2.5728717,626,18,18,7.3137255,1,9.8299999,2.77,,,,,j,0,2.03,1.03,30,1,0,13,.76999998,2.5758293,2.1371529,2.2266939,2.2865479,2.3300788,0,,,,,0,Matched (3),Elementary School,Elementary,6,1,4,4,.12749355,0,144,0
369574,treble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6769626,.060211428,-.69693959,.19132867,-2.25652,-2.0163305,-1.1421343,-.18150468,.99892628,-2.3757026,-1.4462415,-.56360638,-.44942239,.86514354,0,0,4,0,2.25,1.75,6,5,2,1,6.7800002,.30103001,2.912358,.017200001,2.6914203,2.3028243,4,1.214507,485,4,-.16675819,2.0794415,1.9459101,treble,,,1,677.82141,,,-.51002711,.60587186,674.40002,.2978048,.875,4178.3999,0,-2.1295238,.84509802,1,626,18,18,.17647059,1,9.9399996,3.0599999,,,,,n,0,2.72,1.46,29,1,0,13,.52999997,2.5758293,1.5456049,1.6608052,1.6641275,1.7176412,0,,,,,0,Matched (3),Elementary School,Elementary,6,1,2,4,.46098602,0,124,1
325586,sexist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9835495,.72341734,-.57395226,-1.3806423,-2.2754395,-1.2781069,-.62240058,-.082039945,-.92341328,-2.1453488,-.61073828,-.025593221,-.36275446,-.60716844,3.5714285,1,0,0,2.4000001,2.8,6,7,2,2,7.98,.47712126,3.4385452,.55239999,2.8297229,3.257067,8,1.1844016,275,5,-.067153454,.69314718,.69314718,sexist,629.61768,1,.95999998,669.33331,-1.1407582,.79773521,-.58748835,.28357422,622.55261,-.13164455,1,3674.2,0,-.46789658,1.8512584,1.9542425,51,19,19,1.745098,1,11.32,2.98,,,,,j,0,1.83,1.26,29,1,0,,,2.5758293,2.2826188,2.3376353,2.305768,2.1100557,0,,,,,3.5714285,Matched (3),Middle School,Middle school,6,1,3,2,.81508386,0,132,1
288987,protrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4044621,1.9096404,-.6915403,-1.497846,-4.4535813,-2.84198,.47545916,-.31331894,-.86186528,-3.8400431,-2.1722426,.86454499,-.52617496,-.79324484,3.5714285,0,0,0,3.2,3.3499999,10,8,3,3,4.5500002,0,2.5079839,0,2.0893602,1.9048843,1,.59011739,416,5,.82928926,.69314718,.69314718,protrusion,840.84003,.78125,.83333331,804.84003,.40850976,-.31026581,.64912808,-.73703438,,,,3559.3301,0,,.60206002,.60206002,354,20,19,.05882353,.94999999,12.37,2.71,,,,,n,0,3.9000001,1.26,29,1,0,12,.79000002,1.5359712,1.9645319,1.8055078,1.5944587,1.7208108,0,,,,,3.5714285,Matched (3),Middle School,Middle school,10,4,1,3,.81112772,0,413,1
252377,origin,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-.33250231,.74379921,-.75899291,-.17403711,.34338111,.63355583,-.68632376,-.27041075,.47541571,.67006838,1.1089835,-.083753638,-.52375871,.74122077,0,0,1,0,2.5999999,2.75,6,6,3,1,9.75,1.6434526,4.3388214,.93629998,4.380507,3.6607592,268,1.8843925,495,6,-.067153439,1.0986123,1.7917595,origin,629.27271,.97058821,.9285714,583.4231,-1.1432884,.64876014,-1.3714937,.030340465,,,,2783.8,0,1.3523294,2.230449,2.357935,360,20,20,4.4509802,1,10.25,1.9400001,,,,,n,0,2.03,1.25,31,1,0,8,.79000002,2.5758293,2.5758293,2.5758293,2.5758293,2.5758293,9810,2.3410745,.93100286,8,0,0,Matched (3),Middle School,Elementary,6,1,4,4,.7478956,0,144,0
41088,anchorwoman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4668775,.12031319,-.23710933,-1.3274331,-1.9208143,-2.9775233,-1.1040072,.85335171,-.82967317,-3.1444666,-2.2519836,-.54237348,.067546859,-.65416795,67.85714,3,5,1,2,1.8,6,5,2,2,4.5500002,0,2.422272,0,2.0893602,2.4789157,1,1.3351676,223,4,1.4269178,0,1.0986123,anchorwoman,,,,,,,,,,,,,0,,1.0413927,1.1760913,,19,19,.27450982,1,11.16,4.6100001,,,,,n,0,4.6599998,.72000003,30,.97000003,.033333335,,,1.6565493,1.7406832,1.7149761,1.6535556,1.6805766,0,,,,,67.85714,Matched (3),Middle School,Elementary,11,4,1,3,.15358944,0,413,0
200137,larval,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2.6680863,.18638048,-.53615415,-1.3515016,-4.580605,-2.0389652,-1.0045054,.41066369,-1.0216119,-3.3829002,-1.4276429,-.44007337,-.25825441,-.66843492,3.5714285,1,3,1,2.45,2,6,5,2,2,4.9000001,0,3.099381,.46849999,3.1105494,2.2059143,11,.54892081,205,5,-1.2624104,1.0986123,.69314718,larval,828.09998,.3125,.93548387,676.37933,.31506437,-2.6845536,-.52318728,.086037248,825.5,1.0344067,.15789473,3505.6001,0,-.23841064,.90309,.90309,344,18,17,.13725491,.94444442,11.41,2.3199999,,,,,j,0,3.27,1.28,29,.89999998,.10344828,,,.45963278,.86977553,.75193483,.99122936,.61796904,403,2.8681715,.56591648,2,1,3.5714285,Matched (3),Middle School,Middle school,6,1,2,2,.37962705,0,122,1
31311,absurd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.9549315,.39878049,-.77216959,-.96153498,.27978924,-.13347487,-.9263159,-.27547026,-.33618078,.41643837,.42329863,-.38005838,-.52886081,-.0090140831,0,0,0,0,2.7,2.6500001,6,5,2,1,8.5100002,1.230449,3.9978795,.6688,3.8136361,3.998306,56,1.8878624,485,5,-.51537478,.69314718,1.0986123,absurd,736.56665,.9375,.96428573,650.44446,-.35631174,.4811635,-.75986558,.31810638,609.58972,-.088778429,.97500002,1615.4,0,.63633537,2.5998831,2.6954818,469,1917,1901,9.7058821,.99165362,10.5,3.0999999,,,,,j,0,1.64,.94999999,28,1,0,8,.69,2.2227967,2.3924854,2.3354633,2.0441625,2.5758293,0,,,,,0,Matched (3),Middle School,Elementary,6,1,4,3,.22179195,0,143,1
150980,fusspot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.0287371,3.3749845,-.64525062,-2.4521363,-.89612627,-4.2408199,1.6201526,-.35677925,-1.7380904,-2.8021452,-3.6180367,1.9662026,-.54001254,-1.4946233,78.571426,0,0,0,4.0500002,4.6999998,12,11,5,2,5.9899998,0,.38087919,0,1.7860218,1.7799456,1,1.5944932,234,5,2.0245461,0,0,fusspot,,,,,,,,,711.23529,.62216401,.44736841,,,,.47712126,.47712126,,18,12,.039215688,.66666669,10.08,4.1700001,,,,,,,,,0,,,,,1.3658055,.15357456,.40595439,.16745135,.5880779,,,,,,78.571426,Matched (3),Middle School,Elementary,7,1,0,1,.30752259,0,101,1
59961,bighorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.926873,5.3214097,-.85189927,-2.0001409,-3.117954,-2.4071305,3.3022351,-.41466188,-1.6747309,-2.833734,-1.7836701,3.3925266,-.61781383,-1.355857,53.57143,0,0,0,6.4000001,6.9499998,16,13,5,4,3.1400001,0,3.142055,.60329998,3.018779,1.3016658,6,.96235305,200,4,3.8174317,0,.69314718,bighorn,,,,,,,,,,,,,0,-.22549689,0,0,195,19,16,.47058824,.84210527,11,3.6300001,,,,,,,,,0,,,10,.73000002,.39965346,1.031087,.82331681,.90169954,.80267388,0,,,,,53.57143,Matched (3),Middle School,Elementary,7,1,2,1,.18740496,0,121,1
334697,smoggy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4505072,1.1294287,-.69194895,-2.3960235,-2.1535869,-2.9993463,-.15797403,-.26824734,-2.0556061,-2.3637094,-2.3490481,.23700619,-.5138281,-1.421545,50,0,0,0,2.75,2.6500001,9,6,3,2,3.6600001,.30103001,2.422272,.2007,2.4873002,2.1479223,4,1.2486761,190,3,-1.2624104,0,0,smoggy,,,,,,,,,,,,,0,-1.3055428,.84509802,.84509802,95,19,18,.11764706,.94736844,10.56,2.0899999,,,,,,,,,0,,,,,1.5372554,1.794418,1.7139038,1.4268368,1.5150566,0,,,,,50,Matched (3),Middle School,Elementary,6,1,1,0,.53121763,0,110,1
87777,cock,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.4525976,-1.0662706,1.7133372,.57576776,-.54714519,-.51192141,-2.303277,7.8873739,1.5503966,-1.0257808,.022202753,-1.4952569,2.8468955,1.4353564,0,15,52,10,1.15,1,4,3,1,1,10.06,.69897002,3.4328032,.58270001,3.7228286,4.0670004,37,1.6729858,421,5,.53047502,2.4849067,2.0794415,cock,628.59998,1,.96153843,617.84003,-1.1482227,.79773521,-1.0574093,.29597023,551.47369,-.50921512,.97500002,2701,,.48471376,2.4969296,2.7641761,,19,19,11.372549,1,11.32,3.45,,,,,n,0,4.79,.56999999,28,1,0,16,.41333333,1.9633975,2.1609802,2.1016791,2.2916176,2.5758293,,,,,,0,Matched (3),Middle School,Middle school,4,0,4,4,.79220289,0,044,1
348424,stubbly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.7059021,.78627938,-.55470294,-2.3837514,-2.4442952,-3.2804792,-.48314002,-.070093758,-2.0991254,-2.2386172,-2.6480179,-.002540339,-.35125107,-1.4646566,10.714286,1,0,0,2.55,2.45,7,6,3,2,2.4000001,0,2.2999573,.2281,2.5664816,1.7799456,4,1.1658033,257,3,-1.2624104,0,0,stubbly,877.0769,.7647059,.96551722,772,.674299,-.39406413,.34943432,.32802907,,,,2698.3301,0,-1.153055,.47712126,.47712126,400,20,19,.039215688,.94999999,12.26,4.4499998,,,,,j,0,4.04,1.29,28,1,0,,,1.518851,1.1168985,1.2081585,1.1117741,1.2248327,0,,,,,10.714286,Matched (3),Middle School,Middle school,7,1,1,0,.7285946,0,110,0
231601,mousse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5913677,-.64119667,-.51871717,-.63837624,-3.3904986,-2.0304475,-1.7248545,.39368683,-.087402143,-3.0421083,-1.3057131,-1.1437354,-.19089074,-.021916434,3.5714285,1,22,0,2.05,1.15,6,3,1,1,6.0100002,0,3.2735302,.31549999,2.2654514,3.0809755,1,.9013418,284,4,.3810679,1.0986123,1.3862944,mousse,814.75,.60606062,.85714287,738.625,.21714534,-1.1976259,.044858456,-.54519045,787.57141,.91350496,.7368421,3287.6001,0,-1.4101208,1.6434526,1.7781513,16,19,19,1.1568627,1,10.32,3.5599999,,,,,n,0,4.8299999,.57999998,23,1,0,13,.31,2.0127785,1.8331908,1.8798642,1.6599385,1.9120582,0,,,,,3.5714285,Matched (3),Middle School,Elementary,6,1,2,4,.21743973,0,124,0
142959,flatfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.3339267,1.3754685,-.70551193,-1.8939174,-1.7802145,-3.907021,-.01424648,-.24665919,-1.3812541,-2.5411162,-3.1861272,.37571123,-.49282324,-1.1394469,28.571428,0,1,0,3.5999999,3.5999999,8,7,2,2,2.3,.30103001,1.6361517,0,1.7860218,2.8343031,3,1.3819175,165,2,.82928926,0,.69314718,flatfoot,735.56665,.90909094,1,672.80646,-.36364651,.3372674,-.55579293,.60587186,789.75,.83402652,.55263156,2642.8601,0,,1.4623981,1.5314789,,19,19,.64705884,1,11.11,3.8399999,,,,,n,0,4.0700002,.98000002,29,.97000003,.034482758,,,1.8234499,1.5858728,1.6392995,1.4710754,1.6858838,0,,,,,28.571428,Matched (3),Middle School,Elementary,8,2,0,2,.36617625,0,202,1
73580,camion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.2564783,1.5628496,-.68808103,-2.5135555,-3.970542,-4.548708,.10593268,-.29619977,-1.9210821,-4.2347026,-4.0178113,.50284648,-.50840485,-1.8761069,71.428574,0,0,0,3.8,3.95,8,7,3,1,4.6100001,0,.38087919,0,1.7860218,1.7799456,1,.75636578,183,3,2.3233604,0,0,camion,,,,,,,,,,,,,,,.47712126,.47712126,115,19,5,.039215688,.2631579,11.4,2.1900001,,,,,,,,,0,,,16,.25999999,-.72998393,-.98108315,-.91595644,-.84135735,-.98000866,0,,,,,71.428574,Matched (3),Middle School,Middle school,6,1,0,0,.88672727,0,100,1
283708,prefect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9317644,-1.04096,-.53635913,-1.7904981,-1.6183362,-2.1806235,-2.0339732,.0021913541,-.94069719,-1.9110498,-1.6372006,-1.4172654,-.31766516,-.92761582,42.857143,1,2,0,1.35,1,4,3,1,1,5.5300002,0,2.5014532,.090599999,3.1105494,2.9260736,14,1.4033884,476,5,.82928926,1.0986123,0,prefect,,,,,,,,,626.88892,-.10648169,.97368419,,0,-.95199203,1.2552725,1.6232493,511,18,14,.80392158,.77777779,11.93,3.8699999,,,,,n,0,2.96,1.73,30,.87,.13333334,16,.47,2.2062225,1.5327405,1.6500331,1.7205853,1.4683838,0,,,,,42.857143,Matched (3),Middle School,Middle school,7,1,2,2,.99974221,0,122,0
156466,gloppy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.1811094,.45932284,1.2507499,-2.3613024,-.93808806,-3.9637272,-.79284227,6.2744613,-2.0272226,-2.23493,-3.2220018,-.24950384,2.1055298,-1.2773916,71.428574,12,21,9,1.9,2,7,6,2,2,2.4000001,0,2.0041285,0,1.7860218,1.6038543,1,1.6067523,192,2,-1.2624104,0,0,gloppy,,,,,,,,,,,,,0,,.30103001,.30103001,24,20,17,.019607844,.85000002,10.47,4.6399999,,,,,,,,,0,,,,,-.45485634,.20514007,.026859961,-.24163891,.13977532,0,,,,,71.428574,Matched (3),Middle School,Elementary,6,1,0,0,.76569837,0,100,0
