Target_Word,Stem,Correct_Response,Response_B,Response_C,Response_D,Series,Note:
alter, We had to ALTER the plans due to unexpected events. , Change, Keep, Follow, Express ,1,Good item. 
alter, You may need to ALTER your diet to improve your health. , Modify, Maintain, Review, Evaluate ,2,Good item. 
alter," The dress was too large,  so she had it ALTERed. ", Adjusted, Bought, Worn, Returned,3,"Issue: Response B does not fit example sentence (i.e. wrong part of speech, needs a preposition)"
area, The AREA of study is quite vast. , Territory, Person, Method, Result ,1,Good item. 
area, We explored the local AREA during our vacation. , Region, Hotel, Tour, Market ,2,Good item. 
area, The AREA of the rectangle can be calculated by multiplying its length and width. , Measurement, Edge, Color, Texture,3,Correct_response is a hypernym (or target word itself) when it should be a synonym
assume, I ASSUME you're here for the meeting. , Presume, Deny, Finish, Avoid ,1,Good item. 
assume, He will ASSUME the role of CEO next month. , Take, Leave, Ignore, Doubt ,2,Good item. 
assume, Let's ASSUME for a moment that she's telling the truth. , Consider, Reject, Question, Confirm,3,Correct_response is not a synonym
circumstance," Under normal CIRCUMSTANCE,  the project would have been completed. ", Condition, Action, Result, Company ,1,Good item. 
circumstance," Due to unforeseen CIRCUMSTANCE,  the event was cancelled. ", Situation, Solution, Cause, Decision ,2,Good item. 
circumstance, She rose to fame despite her humble CIRCUMSTANCE. , Background, Foreground, Perspective, Fame,3,Correct_response is not a synonym
coherent, Her argument was COHERENT and persuasive. , Logical, Incoherent, Impersonal, Uncertain ,1,Good item. 
coherent, He was too tired to form a COHERENT sentence. , Understandable, Confusing, Short, Silent ,2,Good item. 
coherent, The COHERENT light of a laser has many applications. , Consistent, Different, Colored, Weak,3,Good item. 
commence, The meeting is scheduled to COMMENCE at noon. , Begin, End, Delay, Ignore ,1,Good item. 
commence, The ceremony will COMMENCE with the national anthem. , Start, Pause, Finish, Repeat ,2,Good item. 
commence, We are eager to COMMENCE the next phase of the project. , Launch, Complete, Discuss, Evaluate,3,Good item. 
comment, She made an interesting COMMENT about the movie. , Remark, Movie, Scene, Award ,1,Good item. 
comment, Please add a COMMENT to the document before sending it. , Annotation, Copy, Picture, Attachment ,2,Good item. 
comment, His sarcastic COMMENT made everyone laugh. , Quip, Promise, Gesture, Signal,3,Good item. 
energy, The city is trying to use more renewable ENERGY. , Power, Vehicle, Audience, Writer ,1,Good item. 
energy," After a long day,  she had little ENERGY left. ", Strength, Weakness, Tiredness, Sleepiness ,2,Good item. 
energy, The ENERGY of the crowd was contagious. , Excitement, Boredom, Silence, Indifference,3,Correct_response is not a synonym
enhance, This software will ENHANCE the quality of your photos. , Improve, Degrade, Maintain, Postpone ,1,Good item. 
enhance, The spices will ENHANCE the flavor of the dish. , Amplify, Reduce, Identify, Replace ,2,Good item. 
enhance, Exercise can ENHANCE your mood and energy levels. , Boost, Lower, Measure, Change,3,Good item. 
erode, The cliffs started to ERODE due to heavy rain. , Deteriorate, Inflate, Raise, Calculate ,1,Good item. 
erode, Constant criticism can ERODE one's self-confidence. , Undermine, Enhance, Confirm, Praise ,2,Good item. 
erode, Acid rain can ERODE the surfaces of buildings. , Wear, Build, Paint, Decorate,3,Good item. 
extract, Scientists managed to EXTRACT the DNA from the fossil. , Remove, Multiply, Ponder, Paint ,1,Good item. 
extract, They managed to EXTRACT a confession from him. , Elicit, Suppress, Deny, Express ,2,Good item. 
extract, The chef uses vanilla EXTRACT in the cake recipe. , Ingredient, Tool, Dish, Method,3,Correct_response is not a synonym
incentive, The company offered an INCENTIVE for early retirement. , Reward, Penalty, Document, Threat ,1,Good item. 
incentive, The bonus served as an INCENTIVE to work harder. , Motivation, Barrier, Distraction, Hindrance ,2,Good item. 
incentive, The government provides tax INCENTIVEs for small businesses. , Benefits, Charges, Rules, Limitations,3,Correct_response is not a synonym
incorporate, The business plans to INCORPORATE more sustainable practices. , Enclose, Expose, Relate, Oppose ,1,Correct_response is not a synonym
incorporate, He wanted to INCORPORATE his grandmother's name in the baby's name. , Include, Exclude, Deny, Deduct,2,Good item. 
incorporate, The recipe requires you to INCORPORATE the eggs slowly into the mix. , Blend, Divide, Skip, Discard,3,Good item. 
inevitable," Given the circumstances,  it was INEVITABLE that they would meet. ", Unavoidable, Avoidable, Predictable, Surprising,1,Response C is too attractive. 
inevitable, Ageing is an INEVITABLE part of life. , Inescapable, Preventable, Reversible, Unnoticeable,2,Good item. 
inevitable," Despite the warnings,  the accident was INEVITABLE. ", Certain, Doubtful, Avoidable, Postponed,3,Good item. 
negate, The recent failures do not NEGATE his previous successes. , Cancel, Confirm, Expand, Discuss,1,Correct_response is not a synonym
negate, Eating junk food will NEGATE the effects of your workout. , Nullify, Enhance, Document, Encourage ,2,Good item. 
negate, His apology did not NEGATE the fact that he broke the rules. , Invalidate, Validate, Explain, Acknowledge,3,Good item. 
norm, It's the NORM to tip in this country. , Standard, Exception, Goal, Question ,1,Good item. 
norm, She's challenging the NORMs of traditional fashion. , Rules, Trends, Designs, Brands ,2,Good item. 
norm," Over time,  working from home may become the new NORM. ", Practice, Office, Time, Cost,3,Good item. 
practitioner, The medical PRACTITIONER offered some sound advice., Professional, Patient, Salesperson, Accountant ,1,Good item. 
practitioner, The health PRACTITIONER recommended daily exercise. , Specialist, Audience, Plant, Manager ,2,Good item. 
practitioner," As a yoga PRACTITIONER,  she maintains her flexibility. ", Participant, Observer, Instructor, Designer,3,Correct_response is not a synonym
prospect, The PROSPECT of promotion is motivating him. , Possibility, Reality, Failure, History ,1,Good item. 
prospect, They surveyed the land in PROSPECT of finding oil. , Hope, Certainty, Knowledge, Experience ,2,Good item. 
prospect," Despite the challenges,  she was excited by the PROSPECT of studying abroad. ", Opportunity, Reality, Result, Risk,3,Good item. 
protocol, Following the PROTOCOL is important for safety. , Procedure, Violation, Chance, Discovery ,1,"Issue: Response C does not fit example sentence (i.e. wrong part of speech, needs a preposition)"
protocol, The diplomatic PROTOCOL requires formal attire. , Etiquette, Dress, Venue, Speech ,2,Good item. 
protocol, They developed a new PROTOCOL for data transmission. , Method, Message, Cable, Speed,3,
scope, The SCOPE of the project has expanded significantly. , Range, Size, Product, Dream,1,Good item. 
scope, The telescope has a wide SCOPE of view. , Field, Lens, Stand, Focus ,2,Good item. 
scope, Understanding the full SCOPE of the problem is crucial. , Extent, Solution, Cause, Example,3,Good item. 
status, The STATUS of the project is currently unknown. , Condition, Task, Place, Machine,1,
status, His celebrity STATUS provides him with many privileges. , Fame, Obscurity, Failure, Struggle ,2,Correct_response is not a synonym
status, They updated the STATUS of the order to 'shipped'. , Stage, Package, Content, Cost,3,Correct_response is not a synonym
vary, Prices VARY depending on the time of year. , Differ, Converge, Stop, Fix,1,Good item. 
vary, The amount of homework VARYs from class to class. , Changes, Remains, Ends, Starts ,2,Good item. 
vary," People's tastes VARY,  so it's hard to please everyone. ", Diversify, Conform, Satisfy, Complicate,3,"Issue: Response A does not fit example sentence (i.e. wrong part of speech, needs a preposition)"
via, I received the message VIA email. , Through, Away, Into, Over ,1,Response D is too attractive. 
via, We will travel to New York VIA Chicago. , By way of, Directly to, Apart from, Besides ,2,Good item. 
via, The funds were transferred VIA online banking. , Using, Ignoring, Excluding, Opposing,3,Good item. 
violate, You mustn't VIOLATE the company's policies. , Infringe, Adhere, Appreciate, Understand ,1,"Issue: Response A and B do not fit example sentence (i.e. wrong part of speech, needs a preposition)"
violate, His actions VIOLATE the terms of the agreement. , Breach, Honor, Discuss, Accept ,2,Good item. 
violate, To enter without permission would VIOLATE their privacy. , Intrude, Respect, Notice, Leave,3,Correct_response is not a synonym
volume, The VOLUME of traffic has increased. , Noise, Speed, Amount, Gap ,1,Correct_response is not a synonym
volume, Please lower the VOLUME of the music. , Sound, Song, Quality, Rhythm ,2,Good item. 
volume, The VOLUME of the container determines how much it can hold. , Capacity, Shape, Weight, Material,3,Good item. 
